"('', '', '', '', '', '', ' 0\n\t\t\t$MultiSessionObject', '', '0', 'MultiSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param(\n\t\t[string]$Domain,\n\t\t[string]$DomainController,\n\t\t[switch]$WMI\n\t)', '[string]$Domain,\n\t\t[string]$DomainController,\n\t\t[switch]$WMI\n\t', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param(\n\t\t[string]$Domain,\n\t\t[string]$DomainController\n    )', '[string]$Domain,\n\t\t[string]$DomainController\n    ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param(`$state)', '`$state', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.HostName\n\n\t$ClientScript', '', '.HostName', 'ClientScript', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.HostName\n\t$TempHostname', '', '.HostName', 'TempHostname', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.HostName\n\t$reachable_hosts', '', '.HostName', 'reachable_hosts', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.HostName\n\t\n\t$ClientScript', '', '.HostName', 'ClientScript', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.Location\n\n    $params', '', '.Location', 'params', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '0x18]\n$shellcode', '', '0x18', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '0x1c]\n$shellcode', '', '0x1c', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '0x20]\n$shellcode', '', '0x20', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '0x24]\n$shellcode', '', '0x24', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '0x3c]\n$shellcode', '', '0x3c', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '0x60]\n$shellcode', '', '0x60', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '0x88\n$shellcode', '', '0x88', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '0xb9\n    $output', '', '0xb9', 'output', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '0xd1\n        $output', '', '0xd1', 'output', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '0xd\n$shellcode', '', '0xd', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '2]\n$shellcode', '', '2', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '4]\n$shellcode', '', '4', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ADCompDomain $AllDomain', '', 'ADCompDomain', 'AllDomain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'AND $DomainController', '', 'AND', 'DomainController', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'AND $Password', '', 'AND', 'Password', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'AND $_', '', 'AND', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'AND $scsafe', '', 'AND', 'scsafe', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'AND $userdefdc', '', 'AND', 'userdefdc', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'AND $userdefpassword', '', 'AND', 'userdefpassword', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'AllDomains\n\t\t$AllDomains', '', 'AllDomains', 'AllDomains', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'AllDomains\n\t\t\t$AllDomains', '', 'AllDomains', 'AllDomains', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'AllUserDefinedTargets\n    \t\t\t\t$global', '', 'AllUserDefinedTargets', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'AllUserDefinedTargets\n\t\t\t$global', '', 'AllUserDefinedTargets', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'AllUserDefinedTargets\n\t\t\t\t$global', '', 'AllUserDefinedTargets', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'AllUserDefinedTargets\n\t\t\t\t\t$global', '', 'AllUserDefinedTargets', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'AllUserDefinedTargets\n\t\t\t\t\t\t$global', '', 'AllUserDefinedTargets', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ArgumentList $arguments', '', 'ArgumentList', 'arguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ArgumentList $startarguments', '', 'ArgumentList', 'startarguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ArgumentList $stoparguments', '', 'ArgumentList', 'stoparguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ChildPath $_', '', 'ChildPath', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ChildPath $baseFileNameWithoutExtension', '', 'ChildPath', 'baseFileNameWithoutExtension', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ChildPath $fileName', '', 'ChildPath', 'fileName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ChildPath $remotefileName', '', 'ChildPath', 'remotefileName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'CimInstance $cimInstance', '', 'CimInstance', 'cimInstance', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'CimSession $cimSession', '', 'CimSession', 'cimSession', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Class $ClassID', '', 'Class', 'ClassID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ClassID\n\t\t\t\t$createNewClass', '', 'ClassID', 'createNewClass', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ClassName $ClassID', '', 'ClassName', 'ClassID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'CmdInput $Command', '', 'CmdInput', 'Command', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'CmdInput $inputFromUser', '', 'CmdInput', 'inputFromUser', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Command $Command', '', 'Command', 'Command', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Command $chunk', '', 'Command', 'chunk', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Command $command', '', 'Command', 'command', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Command $finalstring', '', 'Command', 'finalstring', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ComputerName $Computer', '', 'ComputerName', 'Computer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ComputerName $ComputerName', '', 'ComputerName', 'ComputerName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Credential $cred', '', 'Credential', 'cred', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Domain $AllDomain', '', 'Domain', 'AllDomain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Domain $Domain', '', 'Domain', 'Domain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Domain $userdefdomain', '', 'Domain', 'userdefdomain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'DomainController $DomainController', '', 'DomainController', 'DomainController', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'DomainController $userdefdc', '', 'DomainController', 'userdefdc', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'EncodedCommand $base64Input', '', 'EncodedCommand', 'base64Input', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ExpandProperty $KeyID', '', 'ExpandProperty', 'KeyID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Expression $Using', '', 'Expression', 'Using', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'False\n\t$ShowBookmarks', '', 'False', 'ShowBookmarks', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'False\n\t$ShowUserDefinedTargets', '', 'False', 'ShowUserDefinedTargets', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'False\n\t$global', '', 'False', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'False\n\t\t\t\t$global', '', 'False', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'False\n\t\t\t\t\t$global', '', 'False', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'File $PWD', '', 'File', 'PWD', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'FilePath $fileName', '', 'FilePath', 'fileName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'FileServerProcess.Id\n\n\t\t\t$global', '', 'FileServerProcess.Id', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Force\n\t\t$cred', '', 'Force', 'cred', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Force\n\t\t\t$cred', '', 'Force', 'cred', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Host\n\n  \t\t$command', '', 'Host', 'command', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Host\n\t$Banner', '', 'Host', 'Banner', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Id $global', '', 'Id', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Id $processId', '', 'Id', 'processId', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'InputObject $serverOutput', '', 'InputObject', 'serverOutput', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'MultiPipeName\n\t$SID', '', 'MultiPipeName', 'SID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'MultiPipeName\n\t\t\t$SID', '', 'MultiPipeName', 'SID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'MultiPipeName\n\t\t\t$global', '', 'MultiPipeName', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'MultiPipeName\n\t\t\t\t$SID', '', 'MultiPipeName', 'SID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'MultiPipeName\n\t\t\t\t$global', '', 'MultiPipeName', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'MultiPipeName\n\t\t\t\t\t\n\t\t\t\t\t$SID', '', 'MultiPipeName', 'SID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'MultiPipeName\n\t\t\t\t\t\n\t\t\t\t\t$global', '', 'MultiPipeName', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Null\n\t\t$GuidOutput', '', 'Null', 'GuidOutput', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Null\n\t\t\t$wmiDataOutput', '', 'Null', 'wmiDataOutput', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'OR $Password', '', 'OR', 'Password', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'OR $command', '', 'OR', 'command', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'OR $global', '', 'OR', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'OR $line', '', 'OR', 'line', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'OldPipeNameToRestore\n\t\t\t\t$global', '', 'OldPipeNameToRestore', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'OldPipeNameToRestore\n\t\t\t\t\t$global', '', 'OldPipeNameToRestore', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'OutFile $destinationPath', '', 'OutFile', 'destinationPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Output $Banner', '', 'Output', 'Banner', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Output $BannerLink', '', 'Output', 'BannerLink', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Output $ClipboardContent', '', 'Output', 'ClipboardContent', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Output $KeylogContent', '', 'Output', 'KeylogContent', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Output $LineComputerAccess', '', 'Output', 'LineComputerAccess', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Output $PN', '', 'Output', 'PN', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Output $SyncString', '', 'Output', 'SyncString', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Output $_', '', 'Output', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Output $bookmark', '', 'Output', 'bookmark', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Output $finalResult', '', 'Output', 'finalResult', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Output $line', '', 'Output', 'line', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Output $output', '', 'Output', 'output', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Output $serverOutput', '', 'Output', 'serverOutput', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Output $test', '', 'Output', 'test', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'PID\n\t\t\t\n\t\t\t$FileServerMonitoringScript', '', 'PID', 'FileServerMonitoringScript', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'PassThru\n\n\t\t\t$processId', '', 'PassThru', 'processId', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Password $Password', '', 'Password', 'Password', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Password $userdefpassword', '', 'Password', 'userdefpassword', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $Targets', '', 'Path', 'Targets', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $basePath', '', 'Path', 'basePath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $commandParts', '', 'Path', 'commandParts', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $destinationFolder', '', 'Path', 'destinationFolder', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $destinationPath', '', 'Path', 'destinationPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $directory', '', 'Path', 'directory', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $fileName', '', 'Path', 'fileName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $fulluserpath', '', 'Path', 'fulluserpath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $localFullPath', '', 'Path', 'localFullPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $subfolderPath', '', 'Path', 'subfolderPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $userdefPath', '', 'Path', 'userdefPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $usersDirectory', '', 'Path', 'usersDirectory', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'PipeClient $pipeClient', '', 'PipeClient', 'pipeClient', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'PipeClient $selectedMultiSession', '', 'PipeClient', 'selectedMultiSession', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'PipeName $PipeName', '', 'PipeName', 'PipeName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'PipeName $selectedMultiSession', '', 'PipeName', 'selectedMultiSession', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'PipeName $selectedSession', '', 'PipeName', 'selectedSession', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'PipeName\n\t\n\t$ServerScript', '', 'PipeName', 'ServerScript', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'PipeServer $pipeServer', '', 'PipeServer', 'pipeServer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'PipeServer $selectedSession', '', 'PipeServer', 'selectedSession', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Port $userdefPort', '', 'Port', 'userdefPort', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Property $KeyID', '', 'Property', 'KeyID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'RawClientScript\n\t\n\t$RawClientScript', '', 'RawClientScript', 'RawClientScript', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'RawServerScript\n\t\n\t$RawServerScript', '', 'RawServerScript', 'RawServerScript', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ReachableDomains\n\t\t\n\t\t$Computers', '', 'ReachableDomains', 'Computers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ReachableDomains\n\t\t\t\n\t\t\t$Computers', '', 'ReachableDomains', 'Computers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'RunspacePool\n\t\t$JobObjects', '', 'RunspacePool', 'JobObjects', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'RunspacePool\n\t\t\t\t$JobObjects', '', 'RunspacePool', 'JobObjects', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'RunspacePool\n\t\t\t\t\t$JobObjects', '', 'RunspacePool', 'JobObjects', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Seconds $timeInterval', '', 'Seconds', 'timeInterval', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SecureString $Password', '', 'SecureString', 'Password', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SecureString $userdefpassword', '', 'SecureString', 'userdefpassword', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SessionOption $sessionOptions', '', 'SessionOption', 'sessionOptions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ShCommand $finalstring', '', 'ShCommand', 'finalstring', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ShCommand $shellcommand', '', 'ShCommand', 'shellcommand', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'StreamReader $selectedMultiSession', '', 'StreamReader', 'selectedMultiSession', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'StreamReader $selectedSession', '', 'StreamReader', 'selectedSession', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'StreamReader $sr', '', 'StreamReader', 'sr', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'StreamWriter $selectedMultiSession', '', 'StreamWriter', 'selectedMultiSession', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'StreamWriter $selectedSession', '', 'StreamWriter', 'selectedSession', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'StreamWriter $sw', '', 'StreamWriter', 'sw', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'StreamWriter\n\t$sr', '', 'StreamWriter', 'sr', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Target $selectedTarget', '', 'Target', 'selectedTarget', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TargetServer $Target', '', 'TargetServer', 'Target', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Targets $LocalAdminAccessTargets', '', 'Targets', 'LocalAdminAccessTargets', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Targets $allReachTargets', '', 'Targets', 'allReachTargets', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Targets $userdeftargets', '', 'Targets', 'userdeftargets', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Targets\n\t$Computers', '', 'Targets', 'Computers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Targets\n\t\t\t$Computers', '', 'Targets', 'Computers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Targets\n\t\t\t\t$Computers', '', 'Targets', 'Computers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TempAccessVar\n\t\t\t$FinalTargets', '', 'TempAccessVar', 'FinalTargets', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TempAdminAccessTargets\n\t\t\t\t$global', '', 'TempAdminAccessTargets', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TempAdminAccessTargets\n\t\t\t\t\t$global', '', 'TempAdminAccessTargets', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TempAdminAccessTargets\n\t\t\t\t\t\t$global', '', 'TempAdminAccessTargets', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TimeOut $Timeout', '', 'TimeOut', 'Timeout', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'True\n\t$ShowMenuCommands', '', 'True', 'ShowMenuCommands', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'True\n\t\t\t$global', '', 'True', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'True\n\t\t\t$timeoutSeconds', '', 'True', 'timeoutSeconds', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'True\n\t\t\t\t$global', '', 'True', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'True\n\t\t\t\t\n\t\t\t\t$sw', '', 'True', 'sw', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'True\n\t\t\t\t\t$global', '', 'True', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'True\n\t\t\t\t\t\t$global', '', 'True', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UniquePipeID $selectedMultiSession', '', 'UniquePipeID', 'selectedMultiSession', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Unique\n    $Computers', '', 'Unique', 'Computers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Unique\n\n\t$runspacePool', '', 'Unique', 'runspacePool', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Unique\n\t\t$TrustTargetNames', '', 'Unique', 'TrustTargetNames', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Unique\n\t\t\n\t\t$PlaceHolderDomains', '', 'Unique', 'PlaceHolderDomains', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Unique\n\t\t\t$TrustTargetNames', '', 'Unique', 'TrustTargetNames', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Unique\n\t\t\t$UserDefinedTargets', '', 'Unique', 'UserDefinedTargets', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Unique\n\t\t\t\n\t\t\t$PlaceHolderDomains', '', 'Unique', 'PlaceHolderDomains', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Unique\n\t\t\t\t$global', '', 'Unique', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Uri $url', '', 'Uri', 'url', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UserDefinedTargets\n\t\t\t\t$global', '', 'UserDefinedTargets', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UserName $userdefusername', '', 'UserName', 'userdefusername', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UserName\n\t\t\t\t\t$connectionOptions', '', 'UserName', 'connectionOptions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Username $Username', '', 'Username', 'Username', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[0]\n\t$remotePath', '', '0', 'remotePath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[0]\n\t\t\t$Target', '', '0', 'Target', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[1]\n        $bookmark', '', '1', 'bookmark', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[1]\n\t$UserIdentity', '', '1', 'UserIdentity', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[1]\n\t\t\t$Command', '', '1', 'Command', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[1]\n\t\t\t$InjectHex', '', '1', 'InjectHex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[1]\n\t\t\t$global', '', '1', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[1]\n\t\t\t$userdefPath', '', '1', 'userdefPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[1]\n\t\t\t\n\t\t\t$directAdminEndIndex', '', '1', 'directAdminEndIndex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[1]\n\t\t\t\n\t\t\t$sw', '', '1', 'sw', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[1]\n\t\t\t\t$UserDefinedTargets', '', '1', 'UserDefinedTargets', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[1]\n\t\t\t\t$global', '', '1', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[2]\n\t\t\t\n\t\t\t$InjectCommand', '', '2', 'InjectCommand', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[array] $chunks', '', 'array', 'chunks', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[char]$_', '', 'char', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[rsi]\n$shellcode', '', 'rsi', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[rsp]\n$shellcode', '', 'rsp', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[string] $command', '', 'string', 'command', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [System.IO.Pipes.NamedPipeServerStream]$PipeServer', '', 'System.IO.Pipes.NamedPipeServerStream', 'PipeServer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [string]$Domain', '', 'string', 'Domain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        \t[string]$Method', '', 'string', 'Method', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        \t[string]$Password', '', 'string', 'Password', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        \t[string]$UserName', '', 'string', 'UserName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n    \t\t[string]$DomainController', '', 'string', 'DomainController', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n    \t\t[switch]$InLine', '', 'switch', 'InLine', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n    return $arr', '', 'return', 'arr', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n    return $output', '', 'return', 'output', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n    return $result', '', 'return', 'result', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n  \t\t[string]$Domain', '', 'string', 'Domain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n  \t\t[switch]$SaveOutput', '', 'switch', 'SaveOutput', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\n    return $allcomputers', '', 'return', 'allcomputers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t        return $Computer', '', 'return', 'Computer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t        return $null', '', 'return', 'null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t[string]$Command', '', 'string', 'Command', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t[string]$ComputerName', '', 'string', 'ComputerName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t[string]$Password', '', 'string', 'Password', '', '', '', '', '', '', '', '')"
