"(""[Parameter(Mandatory = $False, ParameterSetName='ObjectGuidLookup')]\n        [Guid]\n        $ObjectType"", 'Guid', 'ObjectType', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(Mandatory = $true, ValueFromPipelineByPropertyName = $true, ParameterSetName = 'CreateVariables')]\n        [switch]$CreateVariables"", 'switch', 'CreateVariables', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ParameterSetName = 'API')]\n        [Switch]\n        $API"", 'Switch', 'API', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Attributes', '', 'in', 'Attributes', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $AvoidHex', '', 'in', 'AvoidHex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $BoundKeys', '', 'in', 'BoundKeys', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ClassName', '', 'in', 'ClassName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ComputerName', '', 'in', 'ComputerName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ComputerNamePartitioned', '', 'in', 'ComputerNamePartitioned', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Computers', '', 'in', 'Computers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ConnectionKeys', '', 'in', 'ConnectionKeys', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Domain', '', 'in', 'Domain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Domains', '', 'in', 'Domains', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $DriveLetters', '', 'in', 'DriveLetters', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $EnumElements', '', 'in', 'EnumElements', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Extension', '', 'in', 'Extension', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Fields', '', 'in', 'Fields', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Files', '', 'in', 'Files', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $GPOResults', '', 'in', 'GPOResults', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $GUIDs', '', 'in', 'GUIDs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $GuidFilter', '', 'in', 'GuidFilter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Hours', '', 'in', 'Hours', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Identity', '', 'in', 'Identity', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Inf', '', 'in', 'Inf', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $InputObject', '', 'in', 'InputObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $InputString', '', 'in', 'InputString', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Jobs', '', 'in', 'Jobs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Keys', '', 'in', 'Keys', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $LoadedAssemblies', '', 'in', 'LoadedAssemblies', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $LoggedOn', '', 'in', 'LoggedOn', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $LogonHours', '', 'in', 'LogonHours', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Members', '', 'in', 'Members', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $MembershipValue', '', 'in', 'MembershipValue', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Memberships', '', 'in', 'Memberships', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $MyVars', '', 'in', 'MyVars', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $OIDList', '', 'in', 'OIDList', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ObjectName', '', 'in', 'ObjectName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ObjectOUs', '', 'in', 'ObjectOUs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ObjectProperties', '', 'in', 'ObjectProperties', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ObjectSid', '', 'in', 'ObjectSid', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Object_Var_TemplateACL', '', 'in', 'Object_Var_TemplateACL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Object_gMSAMembers', '', 'in', 'Object_gMSAMembers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Objects', '', 'in', 'Objects', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ParameterTypes', '', 'in', 'ParameterTypes', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Path', '', 'in', 'Path', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Paths', '', 'in', 'Paths', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Pattern', '', 'in', 'Pattern', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Principals', '', 'in', 'Principals', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ProcessName', '', 'in', 'ProcessName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Processes', '', 'in', 'Processes', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $RawObject', '', 'in', 'RawObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Results', '', 'in', 'Results', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Right', '', 'in', 'Right', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ScriptParameters', '', 'in', 'ScriptParameters', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $SearchKeyWords', '', 'in', 'SearchKeyWords', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $SearchResults', '', 'in', 'SearchResults', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $SearchShares', '', 'in', 'SearchShares', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Server', '', 'in', 'Server', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ServerKeys', '', 'in', 'ServerKeys', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Sessions', '', 'in', 'Sessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Shares', '', 'in', 'Shares', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $StructFields', '', 'in', 'StructFields', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $TargetComputers', '', 'in', 'TargetComputers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $TargetObject', '', 'in', 'TargetObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $TargetObjectSIDs', '', 'in', 'TargetObjectSIDs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $TargetSids', '', 'in', 'TargetSids', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Targets', '', 'in', 'Targets', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Templates', '', 'in', 'Templates', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $TemplatesACL', '', 'in', 'TemplatesACL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Trusts', '', 'in', 'Trusts', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $TypeHash', '', 'in', 'TypeHash', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $UACValues', '', 'in', 'UACValues', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $UnboundParameters', '', 'in', 'UnboundParameters', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $UserSIDs', '', 'in', 'UserSIDs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $UserSearcher', '', 'in', 'UserSearcher', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $VbeData', '', 'in', 'VbeData', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $XMLFiles', '', 'in', 'XMLFiles', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $_', '', 'in', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_CAEnterpriseCA', '', 'in', 'adPEAS_CAEnterpriseCA', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_CompConstrDelegate', '', 'in', 'adPEAS_CompConstrDelegate', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_CompLAPS', '', 'in', 'adPEAS_CompLAPS', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_CompLAPS2', '', 'in', 'adPEAS_CompLAPS2', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_CompRBCDelegate', '', 'in', 'adPEAS_CompRBCDelegate', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_CompUnconstrDelegate', '', 'in', 'adPEAS_CompUnconstrDelegate', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_Cpassword', '', 'in', 'adPEAS_Cpassword', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_DCSyncRights', '', 'in', 'adPEAS_DCSyncRights', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_DomainController', '', 'in', 'adPEAS_DomainController', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_DomainSubnets', '', 'in', 'adPEAS_DomainSubnets', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_DomainTrust', '', 'in', 'adPEAS_DomainTrust', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_ExServerGroup', '', 'in', 'adPEAS_ExServerGroup', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_ExtData', '', 'in', 'adPEAS_ExtData', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_ForestTrust', '', 'in', 'adPEAS_ForestTrust', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_GPO', '', 'in', 'adPEAS_GPO', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_GroupMembers', '', 'in', 'adPEAS_GroupMembers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_Groups', '', 'in', 'adPEAS_Groups', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_ListDC', '', 'in', 'adPEAS_ListDC', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_NetLogonRights', '', 'in', 'adPEAS_NetLogonRights', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_NetlogonFiles', '', 'in', 'adPEAS_NetlogonFiles', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_OU', '', 'in', 'adPEAS_OU', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_Outdated', '', 'in', 'adPEAS_Outdated', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_UnixUserPassword', '', 'in', 'adPEAS_UnixUserPassword', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_UserConstrDelegate', '', 'in', 'adPEAS_UserConstrDelegate', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_UserMSOL', '', 'in', 'adPEAS_UserMSOL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_UserNoPw', '', 'in', 'adPEAS_UserNoPw', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_UserPwNotExpire', '', 'in', 'adPEAS_UserPwNotExpire', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_UserRBCDelegate', '', 'in', 'adPEAS_UserRBCDelegate', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_UsersASREP', '', 'in', 'adPEAS_UsersASREP', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_UsersROAST', '', 'in', 'adPEAS_UsersROAST', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $adPEAS_gMSA', '', 'in', 'adPEAS_gMSA', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $listGPO', '', 'in', 'listGPO', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $response', '', 'in', 'response', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $subkeys', '', 'in', 'subkeys', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $timeAttr', '', 'in', 'timeAttr', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' increase $index', '', 'increase', 'index', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' information\n                $Result', '', 'information', 'Result', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' information\n            $Result', '', 'information', 'Result', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' initialization\n            $ADSInitType', '', 'initialization', 'ADSInitType', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' intPtr\n                $Offset', '', 'intPtr', 'Offset', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' intPtr\n            $Offset', '', 'intPtr', 'Offset', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' into $Threads', '', 'into', 'Threads', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' it\n                                $ConvertToArguments', '', 'it', 'ConvertToArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' it\n                        $GroupMembers', '', 'it', 'GroupMembers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' it\n                        $GroupName', '', 'it', 'GroupName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' it\n            $GptTmplPath', '', 'it', 'GptTmplPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' last $PSBoundParameters', '', 'last', 'PSBoundParameters', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' least $PSBoundParameters', '', 'least', 'PSBoundParameters', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' length\n        $Mod', '', 'length', 'Mod', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' length\n    $Encoded', '', 'length', 'Encoded', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' levels\n    $adPEAS_DomainMode', '', 'levels', 'adPEAS_DomainMode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' list\n            $Null', '', 'list', 'Null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' logofftime\n            $Now', '', 'logofftime', 'Now', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' mappings\n        $MappedComputers', '', 'mappings', 'MappedComputers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' mappings\n        $MappedPaths', '', 'mappings', 'MappedPaths', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' match $guid_str', '', 'match', 'guid_str', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' memberof\n                $GroupSID', '', 'memberof', 'GroupSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' members\n                    $MembershipValue', '', 'members', 'MembershipValue', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' methods\n            $FoundDomain', '', 'methods', 'FoundDomain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' mounting $TargetPath', '', 'mounting', 'TargetPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' name\n                        $GroupSID', '', 'name', 'GroupSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' name\n                    $Object_CompRBCDIdentity', '', 'name', 'Object_CompRBCDIdentity', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' name\n                    $Object_UserRBCDIdentity', '', 'name', 'Object_UserRBCDIdentity', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' name\n                $TargetDCIP', '', 'name', 'TargetDCIP', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' name\n            $DomainObject', '', 'name', 'DomainObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' name\n            $TargetDCIP', '', 'name', 'TargetDCIP', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' name\n$ACE', '', 'name', 'ACE', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' name\n$CompPropertyGuid', '', 'name', 'CompPropertyGuid', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' need\n$FunctionDefinitions', '', 'need', 'FunctionDefinitions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' negations\n        $UACValueNames', '', 'negations', 'UACValueNames', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' object\n            $Target', '', 'object', 'Target', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' objects\n                    $Computer', '', 'objects', 'Computer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' objects\n                    $GPO', '', 'objects', 'GPO', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' objects\n                    $Group', '', 'objects', 'Group', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' objects\n                    $OU', '', 'objects', 'OU', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' objects\n                    $Object', '', 'objects', 'Object', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' objects\n                    $Site', '', 'objects', 'Site', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' objects\n                    $Subnet', '', 'objects', 'Subnet', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' objects\n                    $User', '', 'objects', 'User', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' objects\n                $Object', '', 'objects', 'Object', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' objects\n                $Prop', '', 'objects', 'Prop', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' objects\n$InstanceTypeEnum', '', 'objects', 'InstanceTypeEnum', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' objects\n$SystemFlagsEnum', '', 'objects', 'SystemFlagsEnum', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' objectsid\n            $TargetObjectSID', '', 'objectsid', 'TargetObjectSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' of $Cname', '', 'of', 'Cname', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' of\n                            $_', '', 'of', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' of\n                    $_', '', 'of', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' of\n            $ObjectOUs', '', 'of', 'ObjectOUs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' older $YearCheck', '', 'older', 'YearCheck', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' on $Computer', '', 'on', 'Computer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' on $PSBoundParameters', '', 'on', 'PSBoundParameters', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' on\n    $RootDomSearcherArguments', '', 'on', 'RootDomSearcherArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' once\n                                $ResolvedSIDs', '', 'once', 'ResolvedSIDs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' output\n                $TargetObjectSIDs', '', 'output', 'TargetObjectSIDs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' output\n        $ANSI_esc', '', 'output', 'ANSI_esc', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' packet\n        $Socket', '', 'packet', 'Socket', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' parameter\n            $i', '', 'parameter', 'i', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' parameters\n            $UnboundParameters', '', 'parameters', 'UnboundParameters', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' parameters\n        $Computer', '', 'parameters', 'Computer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' parameters\n        $Group', '', 'parameters', 'Group', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' parameters\n        $User', '', 'parameters', 'User', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' parsing $TargetGptTmplPath', '', 'parsing', 'TargetGptTmplPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' parsing $TargetGroupsXMLPath', '', 'parsing', 'TargetGroupsXMLPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' partition\n            $Null', '', 'partition', 'Null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' passed\n                $TargetDomain', '', 'passed', 'TargetDomain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' passed\n                $TargetForest', '', 'passed', 'TargetForest', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' password\n    $DatePwdLastSet', '', 'password', 'DatePwdLastSet', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' path $Path', '', 'path', 'Path', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' pattern\n        $VbeData', '', 'pattern', 'VbeData', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' permission\n            $Permissions', '', 'permission', 'Permissions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' permissions\n            $Permissions', '', 'permissions', 'Permissions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' permissions\n        $adPEAS_DCSyncRights', '', 'permissions', 'adPEAS_DCSyncRights', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' permissions\n        $adPEAS_DomainRights', '', 'permissions', 'adPEAS_DomainRights', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' permissions\n        $adPEAS_LAPSRights', '', 'permissions', 'adPEAS_LAPSRights', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' policy\n            $Duration', '', 'policy', 'Duration', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' policy\n        $adPEAS_DomainPolicy', '', 'policy', 'adPEAS_DomainPolicy', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' privileges\n        $Privs', '', 'privileges', 'Privs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' property\n                    $Filter', '', 'property', 'Filter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' provider\n                $ComputerProvider', '', 'provider', 'ComputerProvider', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' psenum $Mod', '', 'psenum', 'Mod', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' psobject\n                    $user', '', 'psobject', 'user', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' psobject\n                $Obj', '', 'psobject', 'Obj', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' psobject\n            $GpoACL', '', 'psobject', 'GpoACL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' queue\n            $Output', '', 'queue', 'Output', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' queue\n        $Method', '', 'queue', 'Method', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' queues\n            $Jobs', '', 'queues', 'Jobs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' quota\n        $adPEAS_RootDomainObject', '', 'quota', 'adPEAS_RootDomainObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' read $InputFile', '', 'read', 'InputFile', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' recursion\n    $SeenDomains', '', 'recursion', 'SeenDomains', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' recursive\n                            $Object_gMSAMemberType', '', 'recursive', 'Object_gMSAMemberType', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' reference $PSBoundParameters', '', 'reference', 'PSBoundParameters', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' reference\n                    $MachineSid', '', 'reference', 'MachineSid', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' requests\n        $SearcherArguments', '', 'requests', 'SearcherArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' requests\n    $ScreenPrinterArguments', '', 'requests', 'ScreenPrinterArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' requests\n    $SearcherArguments', '', 'requests', 'SearcherArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' resolve $Computer', '', 'resolve', 'Computer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' response\n        $ResponseBuffer', '', 'response', 'ResponseBuffer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' returned]\n\n$SecPassword', '', 'returned', 'SecPassword', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' rights\n                        $ADRights', '', 'rights', 'ADRights', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' runspace\n            $MyVars', '', 'runspace', 'MyVars', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' runspaces\n        $Pool', '', 'runspaces', 'Pool', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' searcher\n                            $IdentityDomain', '', 'searcher', 'IdentityDomain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' searcher\n                        $IdentityDomain', '', 'searcher', 'IdentityDomain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' searcher\n                    $IdentityDomain', '', 'searcher', 'IdentityDomain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' server $Computer', '', 'server', 'Computer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' server $TargetComputer', '', 'server', 'TargetComputer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' server\n                    $Access', '', 'server', 'Access', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' server\n                    $SearchShares', '', 'server', 'SearchShares', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' server\n            $Result', '', 'server', 'Result', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' servers\n        $HostEnumBlock', '', 'servers', 'HostEnumBlock', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' sessions\n                $Result', '', 'sessions', 'Result', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' set\n                        $MemberName', '', 'set', 'MemberName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' set\n                $GPOGuids', '', 'set', 'GPOGuids', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' share\n                            $Path', '', 'share', 'Path', '', '', '', '', '', '', '', '')"
