"{ $Filter += ""(&$AttrFilter)"" "
"{ $Filter += ""(|$AttrFilter)"" "
"{ $Result += ""Certificate Request Agent"" "
"{ $Result += ""Client Authentication"" "
"{ $Result += ""Code Signing"" "
"{ $Result += ""Document Encryption"" "
"{ $Result += ""Document Signing"" "
"{ $Result += ""Encrypting File System"" "
"{ $Result += ""File Recovery"" "
"{ $Result += ""IP Security End System"" "
"{ $Result += ""IP Security Tunnel Endpoint"" "
"{ $Result += ""IP Security User"" "
"{ $Result += ""KDC Authentication"" "
"{ $Result += ""Key Recovery"" "
"{ $Result += ""Lifetime Signing"" "
"{ $Result += ""Microsoft Trust List Signing"" "
"{ $Result += ""OCSP Signing"" "
"{ $Result += ""Private Key Archival"" "
"{ $Result += ""Qualified Subordination"" "
"{ $Result += ""Remote Desktop Authentication"" "
"{ $Result += ""Root List Signer"" "
"{ $Result += ""SSH Client"" "
"{ $Result += ""SSH Server"" "
"{ $Result += ""Secure E-mail"" "
"{ $Result += ""Server Authentication"" "
"{ $Result += ""Smartcard Logon"" "
"{ $Result += ""Time Stamping"" "
"{ $_.Split(',') "
{Get-adPEASCreds @SearcherArguments
{Get-adPEASDelegation @SearcherArguments
{Get-adPEASDomain @SearcherArguments
{Get-adPEASGPO @SearcherArguments
{Get-adPEASRights @SearcherArguments
{Invoke-RevertToSelf -TokenHandle $LogonToken
{Split-Path($UserResult.Properties['profilepath'])
{Split-Path($UserResult.Properties['scriptpath'])
{[System.Text.Encoding]::ASCII.GetString($_)
{[void]$PSBoundParameters.Remove($_)
{_
{if ($LastAttribute -notmatch $Item) {$Check += 1
{if ($Next.ToLower() -match $Item) {$Skip = $True
{if ($Parts[0].ToLower() -match $Item) {$Skip = $True
{if ($UserResult.Properties['homedirectory']) {Split-Path($UserResult.Properties['homedirectory'])
{mspresenters
{n
{password12
{test1
{useraccountcontrol=65536
{{J
