"( -  <  >  m=%25%: '""'"
"("""
"(""'!*'"
"() (*hpack.Encoder, *bytes.Buffer"
(*formInfo
(*func(*big.Int
(*func(*big.Rat
(*func(*parse.Tree
(*func([]uint8
(*func(http.http2HeadersFrameParam
(*func(interface {}
(*funcType
(*funcTypeFixed128
(*funcTypeFixed16
(*funcTypeFixed32
(*funcTypeFixed4
(*funcTypeFixed64
(*funcTypeFixed8
(*functype
(*gList
(*gQueue
(*gcBits
(*gcBitsArena
(*gcControllerState
(*gcSweepBuf
(*gcWork
(*gcm
(*gcmAsm
(*gcmCipher
(*genericReplacer
(*globalOptionsHandler
(*guintptr
(*gzipReader
(*halfConn
(*handler
(*handshakeMagics
(*handshakeTransport
(*hchan
(*hcode
(*headerFieldTable
(*headerFlags
(*headerSorter
(*helloRequestMsg
(*hkdf
(*hmac
(*hmap
(*htmlSig
(*http.Cookie
(*http.Request
(*http.Response
(*http.http2ClientConn
(*http.http2serverConn
(*http2ClientConn
(*http2ConnectionError
(*http2ContinuationFrame
(*http2DataFrame
(*http2ErrCode
(*http2Flags
(*http2FrameHeader
(*http2FrameType
(*http2FrameWriteRequest
(*http2Framer
(*http2GoAwayError
(*http2GoAwayFrame
(*http2HeadersFrame
(*http2MetaHeadersFrame
(*http2PingFrame
(*http2PriorityFrame
(*http2PriorityParam
(*http2PushPromiseFrame
(*http2RSTStreamFrame
(*http2ServeConnOpts
(*http2Server
(*http2Setting
(*http2SettingID
(*http2SettingsFrame
(*http2StreamError
(*http2Transport
(*http2UnknownFrame
(*http2WindowUpdateFrame
(*http2addConnCall
(*http2badStringError
(*http2bufferedWriter
(*http2chunkWriter
(*http2clientConnPool
(*http2clientConnReadLoop
(*http2clientStream
(*http2closeWaiter
(*http2connError
(*http2dataBuffer
(*http2dialCall
(*http2duplicatePseudoHeaderError
(*http2erringRoundTripper
(*http2flow
(*http2flushFrameWriter
(*http2frameCache
(*http2gate
(*http2goAwayFlowError
(*http2gzipReader
(*http2handlerPanicRST
(*http2headerFieldNameError
(*http2headerFieldValueError
(*http2httpError
(*http2noCachedConnError
(*http2noDialClientConnPool
(*http2noDialH2RoundTripper
(*http2pipe
(*http2priorityNode
(*http2priorityWriteScheduler
(*http2pseudoHeaderError
(*http2randomWriteScheduler
(*http2requestBody
(*http2responseWriter
(*http2responseWriterState
(*http2serverConn
(*http2serverInternalState
(*http2sortPriorityNodeSiblings
(*http2sorter
(*http2stickyErrWriter
(*http2stream
(*http2streamState
(*http2transportResponseBody
(*http2write100ContinueHeadersFrame
(*http2writeData
(*http2writeGoAway
(*http2writePingAck
(*http2writePushPromise
(*http2writeQueue
(*http2writeQueuePool
(*http2writeResHeaders
(*http2writeSettings
(*http2writeSettingsAck
(*http2writeWindowUpdate
(*httpError
(*httpProxyDialer
(*huffmanBitWriter
(*huffmanDecoder
(*huffmanEncoder
(*idnaTrie
(*initALPNRequest
(*input
(*inputBytes
(*inputReader
(*inputString
(*inputs
(*int64Encoder
(*int64Value
(*intValue
(*interfaceType
(*ioSrv
(*ipMatch
(*ipStackCapabilities
(*ipv6ZoneCache
(*itab
(*itabTableType
(*item
(*jnet/http.(*persistConn
(*jsonError
(*keyUpdateMsg
(*labelError
(*labelIter
(*lazybuf
(*lexer
(*lfstack
(*lineBreaker
(*linearAlloc
(*list.Element
(*list.List
(*listener
(*lockedSource
(*mSpanList
(*mSpanStateBox
(*mac
(*macGeneric
(*machine
(*maptype
(*markBits
(*marshalingFunction
(*maskedSig
(*maxBytesReader
(*maxLatencyWriter
(*mcache
(*mcentral
(*memRecordCycle
(*messageReader
(*messageWriter
(*mheap
(*monitorableWriter
(*mp4Sig
(*mspan
(*muintptr
(*multiEncoder
(*multiReader
(*mux
(*net.Buffers
(*net.netFD
(*netDialerFunc
(*netError
(*netFD
(*newSessionTicketMsg
(*newSessionTicketMsgTLS13
(*nfcTrie
(*nfkcTrie
(*nistParameters
(*noBody
(*noCopy
(*noneAuth
(*noneCipher
(*nopCloser
(*norm.reorderBuffer
(*normReader
(*normWriter
(*notInHeap
(*nothingWrittenError
(*oidEncoder
(*onceCloseListener
(*onePassInst
(*onlyValuesCtx
(*operation
(*os.file
(*p
(*p224Curve
(*p256Curve
(*p256Point
(*pageAlloc
(*pageBits
(*pageCache
(*pallocBits
(*pallocData
(*parser
(*partReader
(*passwordCallback
(*persistConn
(*persistConnWriter
(*pkix.CertificateList
(*pkix.RDNSequence
(*plainError
(*poll.operation
(*pollCache
(*pollDesc
(*poolChain
(*poolDequeue
(*pp
(*prefixNonceAEAD
(*prepareConn
(*proxy_socks5
(*ptrType
(*pubKeyCache
(*queueOnePass
(*randomEnum
(*randomOrder
(*ranges
(*rawConn
(*rawListener
(*readRune
(*readWriteCloserBody
(*redirectHandler
(*reflectWithString
(*regexp.Regexp
(*reorderBuffer
(*requestBodyReadError
(*response
(*rlocker
(*rngReader
(*rngSource
(*rsaKeyAgreement
(*rsaPublicKey
(*rtype
(*runeError
(*runeSlice
(*runtime.p
(*rwcConn
(*rwmutex
(*scanner
(*sectionReadCloser
(*semaRoot
(*serverHandler
(*serverHandshakeState
(*serverHandshakeStateTLS13
(*serverHelloDoneMsg
(*serverHelloMsg
(*serverKeyExchangeMsg
(*sessionState
(*sessionStateTLS13
(*singleStringReplacer
(*skECDSAPublicKey
(*skEd25519PublicKey
(*socksAddr
(*socksCommand
(*socksConn
(*socksDialer
(*socksUsernamePassword
(*sparseBlocks
(*ss
(*sshClientKeyboardInteractive
(*sshConn
(*stackObject
(*stackScanState
(*state
(*stickyErrorReader
(*streamPacketCipher
(*streamSafe
(*stringEncoder
(*stringFinder
(*stringReader
(*stringValue
(*stringWriter
(*strings.Builder
(*struct { io.Reader; io.Closer }
(*struct { sync.Mutex; math/big.table [64]math/big.divisor }
(*struct { sync.Mutex; os/signal.m map[chan<- os.Signal]*os/signal.handler; os/signal.ref [65]int64; os/signal.stopping []os/signal.stopping }
(*struct { sync.Mutex; reflect.m sync.Map }
(*struct { sync.Once; net.val int }
(*structField
(*structType
(*structfield
(*syntax.Regexp
(*sysDialer
(*sysListener
(*syscall.ByHandleFileInformation
(*syscall.Win32finddata
(*taggedEncoder
(*textSig
(*time.Location
(*timeoutError
(*timerCtx
(*tls.CertificateRequestInfo
(*tls.ClientHelloInfo
(*tls10MAC
(*tlsHandshakeTimeoutError
(*traceAlloc
(*traceAllocBlockPtr
(*traceBuf
(*traceBufPtr
(*traceStack
(*traceStackTable
(*transferReader
(*transferWriter
(*transport
(*transportReadFromServerError
(*transportRequest
(*trieNode
(*tripleDESCipher
(*truncWriter
(*truncatingMAC
(*uint16
(*uint32
(*uint64Value
(*uintValue
(*uncommonType
(*unsupportedTEError
(*url.URL
(*valueCtx
(*waitReason
(*waitq
(*wantConn
(*wantConnQueue
(*wbBuf
(*websocket.PreparedMessage
(*window
(*workbuf
(*wrapError
(*wrappedSigner
(*writeHook
(*writerOnly
(*wsConn
(*x25519Parameters
(*x509.Certificate
(*xorNonceAEAD
(*zr
(+
(+$&GY
(+(
(+2
(+3v
(+=
(+e
(+p
(-
(-I param in grep
(-Xi
(-]
(-j@#j(#jruntime.(*plainError
(-j@#j.jcontext.(*timerCtx
(-j@#j.jencoding/json.(*encodeState
(-j@#j.jgithub.com/jpillora/chisel/client.(*Client
(-j@#j.jgithub.com/jpillora/chisel/server.(*Server
(-j@#j.jgithub.com/jpillora/chisel/share.(*TCPProxy
(-j@#j.jgithub.com/jpillora/chisel/share.(*wsConn
(-j@#j.jgolang.org/x/crypto/ssh.(*connection
(-j@#j.jgolang.org/x/crypto/ssh.(*sshClientKeyboardInteractive
(-j@#j.jnet/http.(*http2MetaHeadersFrame
(-j@#j.jnet/http.(*transportRequest
(-j@#j.jreflect.(*funcType
(-j@#j.jreflect.(*funcTypeFixed128
(-j@#j.jreflect.(*funcTypeFixed16
(-j@#j.jreflect.(*funcTypeFixed32
(-j@#j.jreflect.(*funcTypeFixed4
(-j@#j.jreflect.(*funcTypeFixed64
(-j@#j.jreflect.(*funcTypeFixed8
(-j@#j.jreflect.(*ptrType
(-j@#j.jreflect.(*structType
(-j@#j.jregexp.(*onePassInst
(-j@#j.jtext/template.(*Template
(-j@#j.jtext/template/parse.(*IfNode
(-j@#j.jtext/template/parse.(*RangeNode
(-j@#j.jtext/template/parse.(*WithNode
(-j@#j.jvendor/golang.org/x/net/http/httpproxy.(*config
(.
(.((+/
(.*\\$.*\\
(.-
(...http.http2Setting
(...interface {}
(...string
(...uintptr
(.G
(.T
(.in-addr.arpa.169.254.0.0/1619073486328125192.168.0.0/1695367431640625: extra text: ; SameSite=Lax<not Stringer>Accept-CharsetAlready closedCertCloseStoreContent-LengthCreateProcessWCryptGenRandomDkim-SignatureEC PRIVATE KEYFindFirstFileWFingerprint %sFormatMessageWGC assist waitGC worker initGetConsoleModeGetProcAddressGetUserNameExWHandshaking...INTERNAL_ERRORInstEmptyWidthInvalid JSON: Invalid remoteMAX_FRAME_SIZEMB; allocated NetUserGetInfoNot AcceptableOther_ID_StartPROTOCOL_ERRORPattern_SyntaxProcess32NextWQuotation_MarkRCodeNameErrorREFUSED_STREAMREQUEST_METHODRegSetValueExWSending configSetFilePointerTranslateNameW\.+*?(
(.in-addr.arpa.169.254.0.0/1619073486328125192.168.0.0/1695367431640625: extra text: <not Stringer>Accept-CharsetAlready closedCertCloseStoreContent-LengthCreateProcessWCryptGenRandomDkim-SignatureEC PRIVATE KEYFindFirstFileWFingerprint %sFormatMessageWGC assist waitGC worker initGetConsoleModeGetProcAddressGetUserNameExWHandshaking...INTERNAL_ERRORInstEmptyWidthInvalid JSON: Invalid remoteMAX_FRAME_SIZEMB; allocated NetUserGetInfoNot AcceptableOther_ID_StartPROTOCOL_ERRORPattern_SyntaxProcess32NextWQuotation_MarkRCodeNameErrorREFUSED_STREAMREQUEST_METHODRegSetValueExWSending configSetFilePointerTranslateNameW\.+*?(
(/
(/(/_EyIy
(/rp\\s|/p\\s
(0
(0 2
(0123456789abcdefghijklmnopqrstuvwxyz444089209850062616169452667236328125Go pointer stored into non-Go memoryHeader called after Handler finishedHijack failed on protocol switch: %vIA5String contains invalid characterJanFebMarAprMayJunJulAugSepOctNovDecMStats vs MemStatsType size mismatchTime.UnmarshalBinary: invalid lengthUnable to determine system directoryaccessing a corrupted shared librarybytes.Reader.ReadAt: negative offsetbytes.Reader.Seek: negative positionchacha20: wrong HChaCha20 nonce sizecompressed name in SRV resource datacrypto/cipher: input not full blockscrypto/rand: argument to Int is <= 0crypto/sha1: invalid hash state sizecrypto/sha512: invalid hash functiondiffie-hellman-group-exchange-sha256exceeded maximum template depth (%v
(09?
(0O
(0_
(0b
(0c|0n|3n|R
(0j@#j(#jcontext.(*emptyCtx
(0j@#j(#jgithub.com/gorilla/websocket.(*messageReader
(0jencoding/json.(*Encoder
(0jflag.(*FlagSet
(0jvendor/golang.org/x/crypto/cryptobyte.(*Builder
(1
(10
(1080
(11
(12
(13
(14
(15
(16
(17
(18
(19
(1I*d
(1Tk
(1_6
(1l$01D$|1D$#\$8l$<1*\$4
(2
(20
(20Ip@
(2220446049250313080847263336181640625No supported authentication mechanism_cgo_notify_runtime_init_done missingall goroutines are asleep - deadlock!bytes.Buffer: truncation out of rangecannot exec a shared library directlycannot index slice/array with type %schacha20poly1305: plaintext too largecipher: message authentication failedcomment ends before closing delimitercrypto/cipher: incorrect GCM tag sizecrypto/cipher: invalid buffer overlapcrypto/rsa: public exponent too largecrypto/rsa: public exponent too smallcrypto/rsa: unsupported hash functioncrypto: Size of unknown hash functiondereference of nil pointer of type %sexplicitly tagged member didn't matchfailed to reserve page summary memoryhttp2: server encoding header %q = %qhttp: TLS handshake error from %s: %vinternal error: unknown network type out does not point to an integer typereflect.Value.Bytes of non-byte slicereflect.Value.Bytes of non-rune slicereflect.Value.Convert: value of type reflect: Bits of non-arithmetic Type reflect: IsVariadic of non-func type reflect: NumField of non-struct type reflect: funcLayout of non-func type runtime: allocation size out of rangeruntime: failed mSpanList.insertBack setprofilebucket: profile already setslice of unknown type in field %d: %TstartTheWorld: inconsistent mp->nextpsubtle: slices have different lengthstls: unsupported certificate key (%T
(255
(28*EQfK
(3
(37ou~
(3B
(3K
(3d
(3gPg=
(3jHjTTjj.jcrypto/tls.(*serverHandshakeStateTLS13
(3jP#j.jmath/big.(*Float
(3jP#j.jos.(*File
(3jP#j<jmath/big.(*byteReader
(3jP#jDjmath/big.(*Float
(3jP#jDjstrings.(*Reader
(3jP#jPjmath/big.(*Int
(3jP#jRjgolang.org/x/crypto/ssh.(*channel
(3jP#jSjbytes.(*Reader
(3jP#j\2jfmt.(*ss
(3jP#jjcrypto/tls.(*Conn
(3jP#jjmath/big.(*Int
(3ve
(4
(4$
(4FTr_i
(4f
(4mSMi/w
(4oF
(5
(51d
(5_e9Y#
(6
(6B^
(6vHD$hH#D$0HL$xHT$PHH
(7
(7B/uFn
(8
(8!b
(8'(<I
(8(_(i(|(((((((D
(8[
(8gn
(9
(9*t
(9XJSj
(9jnet/http.(*body
(9vKl
(9w>9w1
(9wD
(9wq
(9~
(:	
(:/By
(:S
(:jtext/template.(*state
(;|
(;|4%=5
(<=
(<k}pj
(<uhK+CE0{0Wb(
(> 
(>%k
(>65535
(>=
(>O
(?!.+Integrated Security
(?5
(?:
(?Z
(?i
(?s
(@
(@EJ
(@_Mayyhem
(A
(A3T[A-Z0-9]|AKIA|AGPA|AROA|AIPA|ANPA|ANVA|ASIA
(AD CS
(Attempt: %d (default %q
(Auth
(B
(BADINDEX
(BADWIDTH
(BP 
(C
(C@
(C@:
(C]!>
(C_f5
(D
(D$
(D$89wD
(D$8;
(D/n
(DPt
(DT<t&JH_M(1fQ
(Defaults to a machine specific identifier
(E
(EG&'B
(F
(G
(G:
(GPO
(H
(H0
(H0H
(H0HSHHSLHSHHSHHS$
(H0r
(H4$H
(H9wrH
(H9|H
(H<$H
(H=
(HD$0H
(HH
(HL$0H
(HL$8H
(HL$@HH0=+
(HQH\$@HH
(HT$0HD$`HL$hHT$pHl$8H@HL$XH
(HT$0HD$xHL$pH
(HT$8H9w\HD$0HD$HHL$PH
(H\$hHH
(Hostname/IP
(Ht$PH\$HMM
(Ht$`HFh=M
(I
(I8+;8
(ID>
(IDENTIFIED BY|WITH PASSWORD
(IH
(IL
(IS8
(I}
(J
(J+_^
(K
(KH|
(KaTv-
(L
(L$$
(L'?*
(LD$0H|$8Ht$@
(Latency %s
(Li
(M
(MISSING
(Mexico
(N
(N@
(NOVERB
(NaN
(Ni
(Nj#j.jmain.(*headerFlags
(Nj#j.jmath/big.(*Float
(Nj#j.jregexp.(*Regexp
(Nj#j3jfmt.(*fmt
(Nj#j<:jflag.(*FlagSet
(Nj#j<:jtext/template.(*Template
(Nj#jPGjnet/http.(*Request
(Nj#j\2jnet/textproto.(*MIMEHeader
(Nj#j\2jreflect.(*StructTag
(Nj#j\2jvendor/golang.org/x/text/unicode/norm.(*Form
(Nj#jxUjsyscall.(*DLL
(O
(O#k[
(Object identity: '{1}'
(OjY3a/r
(Only NET 4.7
(Oq]be
(P
(PAr_PE
(Pr[
(Prefer DCOnly whenever possible!
(Q
(Q4MRMs
(Q9
(Qgd
(Qjcrypto/tls.(*finishedHash
(Qjcrypto/x509/pkix.(*Name
(Qx_
(R
(Remote Desktop
(Rp
(S
(SSL
(SSPI|true
(SY
(T
(T$ \$$10
(TF
(TLS handshake error
(T]o
(Tjcrypto/tls.(*newSessionTicketMsgTLS13
(Tjgithub.com/jpillora/chisel/client.(*Client
(Tjgolang.org/x/net/internal/socks.(*UsernamePassword
(Tjnet/http.(*http2serverConn
(Tjnet/http.(*http2writePushPromise
(Tjnet/http.(*http2writeResHeaders
(Tjnet/http.(*socksUsernamePassword
(U
(USER|LOGIN
(UTSC9u^
(UTSCu^
(Usage: '--Cleanup true'
(V
(W
(WB
(X
(X1P6Cfh]zFDx
(Y
(YQsKa
(Yf
(Z	4Z
(Z
(ZUss
([C2
([P-
([][32]uint8
([]big.Word
([]int
([]reflect.Value
([]string
([]uint8
([^a-zA-Z]*
([u+
(\
(\$\
(\S
(\d+(\.(\d+
(\n
(]Mx
(]t@XYiN
(]v=
(^
(^'9*2
(^Q^M
(^Wo
(^^
(_
(_#8D]E%bU
(`
(`#/M%*
(`iV
(a
(abnormal closure
(all interfaces
(anK
(asn1.ObjectIdentifier
(asn1.Tag
(automatically loads from AD otherwise
(b
(b?
(b@
(big.Int=%s
(big.RoundingMode
(blocked
(bnEgEyvr~y1
(bool
(bu
(by default set it always to True
(b||o6a.}2
(c
(c0
(can't happen
(client authentication
(cnotaining bad_regex
(complex128
(conn
(context.Context
(cryptobyte.BuilderContinuation
(cryptobyte.MarshalingValue
(curl -X GET '127.0.0.1:9200' 2>/dev/null | grep number | cut -d ':' -f 2
(d
(dN(l0~V<I
(default %v
(defaults the environment variable HOST and falls back to 0.0.0.0
(den<<shift
(devel
(dir
(disabled
(dsHk
(e
(e(
(e-#
(e-$\
(e:LdLILI
(elem
(errno= runtime: unable to acquire - semaphore out of synctls: invalid signature by the client certificate: tls: invalid signature by the server certificate: tls: received unexpected CertificateStatus messagex509: RSA public exponent is not a positive numberx509: missing ASN.1 contents; use ParseCertificateJSON decoder out of sync - data changing underfoot?ScanState's Read should not be called. Use ReadRunecrypto/tls: reserved ExportKeyingMaterial label: %sfatal: systemstack called from unexpected goroutinehttp2: invalid Transfer-Encoding request header: %qpotentially overlapping in-use allocations detectedprotocol error: received %T before a SETTINGS frameproxy: failed to read address from SOCKS5 proxy at proxy: failed to write greeting to SOCKS5 proxy at runtime: netpoll: PostQueuedCompletionStatus failedssh: peer's curve25519 public value has wrong ordertls: VerifyHostname called on TLS server connectiontls: server selected unsupported compression formattls: server's identity changed during renegotiationx509: certificate has expired or is not yet valid: Client version (%s
(error
(error: %s
(expected %d
(expected one of %v
(expecting 'a'
(expecting 'e'
(expecting 'l'
(expecting 'r'
(expecting 's'
(expecting 'u'
(f
(f:
(fHVrg]9
(float64
(fp
(func(
(func(*flag.Flag
(func(hpack.HeaderField
(func(http.http2Setting
(func(string
(func(uintptr
(g
(gS
(giM
(going away
(gr0D+
(h
(hV
(hh:mm:ss - 00:03:00 is 3 minutes
(hjtL5R@Tz$tmueX?-=
(hpack.HeaderField
(http.Header
(http.http2Flags
(http.http2FrameWriteRequest
(http.http2PushPromiseParam
(http.http2Setting
(http.http2SettingID
(http.http2writeContext
(https://github.com/0xb11a1/yetAnotherObfuscator
(https://github.com/0xthirteen/SharpMove
(https://github.com/0xthirteen/SharpRDP
(https://github.com/0xthirteen/SharpStay
(https://github.com/AlmondOffSec/PassTheCert
(https://github.com/BloodHoundAD/SharpHound
(https://github.com/CCob/SharpBlock
(https://github.com/CCob/SweetPotato
(https://github.com/Dec0ne/KrbRelayUp
(https://github.com/FSecureLABS/SharpGPOAbuse
(https://github.com/FatRodzianko/SharpBypassUAC
(https://github.com/Flangvik/BetterSafetyKatz
(https://github.com/Flangvik/SharpAppLocker
(https://github.com/Flangvik/SharpCollection
(https://github.com/FortyNorthSecurity/SqlClient
(https://github.com/FuzzySecurity/StandIn
(https://github.com/G0ldenGunSec/SharpSecDump
(https://github.com/GhostPack/Certify
(https://github.com/GhostPack/ForgeCert
(https://github.com/GhostPack/LockLess
(https://github.com/GhostPack/Rubeus
(https://github.com/GhostPack/SafetyKatz
(https://github.com/GhostPack/Seatbelt
(https://github.com/GhostPack/SharpDPAPI
(https://github.com/GhostPack/SharpDump
(https://github.com/GhostPack/SharpUp
(https://github.com/GhostPack/SharpWMI
(https://github.com/Group3r/Group3r
(https://github.com/HunnicCyber/SharpSniper
(https://github.com/JamesCooteUK/SharpSphere
(https://github.com/MartinIngesen/TokenStomp
(https://github.com/Mayyhem/SharpSCCM
(https://github.com/PwnDexter/SharpEDRChecker
(https://github.com/RedLectroid/SearchOutlook
(https://github.com/SnaffCon/Snaffler
(https://github.com/V1V1/SharpScribbles
(https://github.com/airzero24/WMIReg
(https://github.com/anthemtotheego/SharpExec
(https://github.com/b4rtik/SharpKatz
(https://github.com/b4rtik/SharpMiniDump
(https://github.com/bats3c/ADCSPwn
(https://github.com/carlospolop/privilege-escalation-awesome-scripts-suite
(https://github.com/checkymander/Sharp-SMBExec
(https://github.com/chrismaddalena/SharpCloud
(https://github.com/cube0x0/KrbRelay
(https://github.com/cube0x0/SharpMapExec
(https://github.com/dev-2null/ADCollector
(https://github.com/djhohnstein/SharpChromium
(https://github.com/djhohnstein/SharpSearch
(https://github.com/djhohnstein/SharpShares
(https://github.com/dsnezhkov/TruffleSnout
(https://github.com/eladshamir/Whisker
(https://github.com/fireeye/ADFSDump
(https://github.com/fireeye/SharPersist
(https://github.com/fullmetalcache/SharpFiles
(https://github.com/infosecn1nja/SharpDoor
(https://github.com/jaredhaight/scout
(https://github.com/jfmaes/SharpHandler
(https://github.com/jnqpblc/SharpDir
(https://github.com/jnqpblc/SharpReg
(https://github.com/jnqpblc/SharpSpray
(https://github.com/jnqpblc/SharpSvc
(https://github.com/jnqpblc/SharpTask
(https://github.com/juliourena/SharpNoPSExec
(https://github.com/l0ss/Grouper2
(https://github.com/lefayjey/SharpSQLPwn
(https://github.com/matterpreter/Shhmon
(https://github.com/mgeeky/SharpWebServer
(https://github.com/mitchmoser/AtYourService
(https://github.com/mvelazc0/PurpleSharp
(https://github.com/nccgroup/nccfsas/tree/main/Tools/SharpZeroLogon
(https://github.com/pkb1s/SharpAllowedToAct
(https://github.com/r3nhat/SharpWifiGrabber
(https://github.com/rasta-mouse/Watson
(https://github.com/rvrsh3ll/SharpCOM
(https://github.com/rvrsh3ll/SharpPrinter
(https://github.com/shantanu561993/SharpChisel
(https://github.com/slyd0g/SharpCrashEventLog
(https://github.com/swisskyrepo/SharpLAPS
(https://github.com/tevora-threat/SharpView
(https://github.com/tomcarver16/ADSearch
(https://github.com/ustayready/SharpHose
(https://github.com/vivami/SauronEye
(https://twitter.com/0xcc00
(httptrace.DNSDoneInfo
(httptrace.DNSStartInfo
(httptrace.GotConnInfo
(httptrace.WroteRequestInfo
(i
(i?
(iP414
(i\
(idle
(incorrect use of unsafe or cgo?
(int
(int32
(int64
(interface {}
(internal server error
(invalid payload data
(io.Reader
(io.RuneReader
(io.Writer
(it must end with a .
(itO
(j
(j%jgolang.org/x/crypto/ssh.(*handshakeTransport
(j(jgithub.com/jpillora/chisel/server.(*Server
(j0hjfmt.(*ss
(j8|jcrypto/tls.(*clientHelloMsg
(j<-j\jjXjmath/big.(*Float
(jD:jRjoj=jnet/http.(*http2serverConn
(jS
(j`
(jbytes.(*Buffer
(jcrypto/tls.(*Conn
(jflag.(*FlagSet
(jfmt.(*fmt
(jgithub.com/armon/go-socks5.(*Server
(jgithub.com/jpillora/chisel/share.(*Logger
(jgolang.org/x/crypto/ssh.(*connection
(jgolang.org/x/crypto/ssh.(*handshakeTransport
(jh~jcrypto/tls.(*serverHelloMsg
(jjcrypto/tls.(*certificateStatusMsg
(jjgolang.org/x/crypto/ssh.(*dsaPrivateKey
(jjnet/http.(*Server
(jmath/big.(*Float
(jmath/rand.(*Rand
(jnet.(*netFD
(jnet/http.(*Server
(jnet/http.(*Transport
(jnet/http.(*body
(jnet/http.(*bodyEOFSignal
(jnet/http.(*conn
(jnet/http.(*connReader
(jnet/http.(*http2ClientConn
(jnet/http.(*persistConn
(jp
(jreflect.(*Value
(jtime.(*Duration
(jtime.(*Time
(jtwjcrypto/ecdsa.(*PrivateKey
(jvendor/golang.org/x/crypto/hkdf.(*hkdf
(jvendor/golang.org/x/text/unicode/norm.(*input
(k
(k|m|g|t|p|x
(l
(l<Put
(lKWjR
(m
(mS
(m^As
(main called runtime.Goexit
(mandatory extension missing
(max 1048575
(message too big
(mostly for ATA/ATP
(msDS-AllowedToActOnBehalfOfOtherIdentity
(mswsock.dllnil contextnot reachedparse errorproxy#%d:%sraw-controlreflect.Setretry-afterruntime: P runtime: p scheddetailsecur32.dllshell32.dllshort writessh-ed25519stack tracetls: alert(tracealloc(traffic updunreachableuserenv.dllwebsocket: wsarecvfrom{{template  (no status
(m{H>2q
(n
(n:A
(n?X
(need at least one of TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256 or TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256
(net.Conn
(net.IP
(net.IPMask
(net.Listener
(nil
(nil chan
(nil json: Unmarshal(nil
(nmoOR
(no cases
(non-pointer malformed MIME header line: mheap.freeSpanLocked - span missing required Host headermissing stack in shrinkstackmspan.sweep: m is not lockedmultipart: boundary is emptymultipart: message too largeneed padding in bucket (key
(normal
(not DER
(not Gdead
(o
(o4
(ojSjHjvendor/golang.org/x/net/http/httpproxy.(*config
(on
(only 1GB is allowed
(only linpeas
(only socks5h:// or socks:// is supported
(os.FileMode
(p
(parse.Node
(parse.Pos
(percent
(policy violation
(possibly because of %q while trying to verify candidate authority certificate %q
(p|
(q
(q3
(qo:
(r
(reflect.Type
(reflect.Value
(reflectlite.Type
(reflectlite.Value
(s
(sSl|
(sUqVP
(scan  (scan
(see examples
(sensitive
(sent %s received %s
(server localhost
(so no passwords
(ssh.ConnMetadata
(ssh.Signer
(stackalloc
(status != _Pgcstop
(stopwait != 0
(strconv.extFloat
(string
(syscall.Handle
(syscall.Sockaddr
(t
(t$4
(t$l
(t9i_Wi_
(tQl$84
(tdm64-1
(template %q not definedtext/css; charset=utf-8text/xml; charset=utf-8time: invalid duration tls: invalid PSK bindertoo many pointers (>10
(template.FuncMap
(time.Duration
(time.Time
(tracebackancestorstruncated sequenceunexpected messageunexpected newlineunexpected type %Tuse of closed fileuserAuthFailureMsguserAuthRequestMsguserAuthSuccessMsgvalue out of range (%d bytes omitted
(tracegc(
(types from different packages
(types from different scopes
(u
(uJn#uj\
(uM}+=^PFyg
(uZ*]$?[1
(uint
(uint16
(uint32
(uint64
(uint8
(uintptr
(unknown
(unsafe.Pointer
(unsupported data
(use ParseECPrivateKey instead for this key format
(use ParsePKCS1PrivateKey instead for this key format
(use ParsePKCS8PrivateKey instead for this key format
(u~B+P
(v
(va\
(w
(wP
(warn_exec apache2 -v 2>/dev/null; warn_exec httpd -v 2>/dev/null
(warn_exec mongo --version 2>/dev/null; warn_exec mongod --version 2>/dev/null
(warn_exec psql -V 2>/dev/null
(winPEAS
(with -LDAPS flag
(with DistinguishedName
(x
(x509.VerifyOptions
(xC
(xQ
(xox[pboa]-[0-9]{12}-[0-9]{12}-[0-9]{12}-[a-z0-9]{32}
(y
(y3&V
(y5
(ycdC[BJL
(z
(zL_SZ]0pI`
(zN
(zU
({:jy'
({<T
({{ .IP }}
(|
(|$<
(|0
(|=B
(|i
(|x
(}
(}T:o\*;L
(}cegG
(~x
