"('https://', 'ht', 's', '/golang/dep/releases/download/v0.5.0/dep-linux-amd64', '/', 'golang/dep/releases/download/v0.5.0/dep-linux-amd64')"
"('https://', 'ht', 's', '/spf13/pflag.svg?branch=master', '/', 'spf13/pflag.svg?branch=master')"
"('www.', 'ht', '', '/software/libc/manual/html_node/Argument-Syntax.html', '/', 'software/libc/manual/html_node/Argument-Syntax.html')"
"('https://', 'ht', 's', '/report/github.com/spf13/pflag', '/', 'report/github.com/spf13/pflag')"
"('https://', 'ht', 's', '/badge/github.com/spf13/pflag', '/', 'badge/github.com/spf13/pflag')"
"('http://', 'ht', '', '/github.com/spf13/pflag', '/', 'github.com/spf13/pflag')"
"('https://', 'ht', 's', '/github.com/spf13/pflag', '/', 'github.com/spf13/pflag')"
"('https://', 'ht', 's', '/github.com/spf13/pflag?status.svg', '/', 'github.com/spf13/pflag?status.svg')"
"('https://', 'ht', 's', '/spf13/pflag', '/', 'spf13/pflag')"
"('https://', 'ht', 's', '/assets/173412/11002937/ccd01654-847d-11e5-828e-12ebaf582eaf.jpg', '/', 'assets/173412/11002937/ccd01654-847d-11e5-828e-12ebaf582eaf.jpg')"
"('http://', 'ht', '', '/art/And-That-s-Why-You-Always-Leave-a-Note-315311422', '/', 'art/And-That-s-Why-You-Always-Leave-a-Note-315311422')"
"('https://', 'ht', 's', '', '', '')"
"('www.', 'ht', 's', '', '', '')"
"('http://', 'ht', '', '/wiki/Viper_', '/', 'wiki/Viper_')"
"('https://', 'ht', 's', '/spf13/cobra', '/', 'spf13/cobra')"
"('https://', 'ht', 's', '/assets/173412/10886745/998df88a-8151-11e5-9448-4736db51020d.png', '/', 'assets/173412/10886745/998df88a-8151-11e5-9448-4736db51020d.png')"
"('https://', 'ht', 's', '/nanobox-io/nanobox', '/', 'nanobox-io/nanobox')"
"('https://', 'ht', 's', '/digitalocean/doctl', '/', 'digitalocean/doctl')"
"('https://', 'ht', 's', '/jgsqware/clairctl', '/', 'jgsqware/clairctl')"
"('https://', 'ht', 's', '/spf13/viper?utm_source=badge&utm_medium=badge&utm_campaign=pr-badge&utm_content=badge', '/', 'spf13/viper?utm_source=badge&utm_medium=badge&utm_campaign=pr-badge&utm_content=badge')"
"('https://', 'ht', 's', '/Imgur/incus', '/', 'Imgur/incus')"
"('https://', 'ht', 's', '/pkg/flag', '/', 'pkg/flag')"
"('https://', 'ht', 's', '/spf13/viper.svg', '/', 'spf13/viper.svg')"
"('http://', 'ht', '', '', '', '')"
"('https://', 'ht', 's', '/spf13/viper', '/', 'spf13/viper')"
"('https://', 'ht', 's', '/nanopack', '/', 'nanopack')"
"('https://', 'ht', 's', '/github.com/spf13/viper', '/', 'github.com/spf13/viper')"
"('https://', 'ht', 's', '/docker/Notary', '/', 'docker/Notary')"
"('https://', 'ht', 's', '/spf13/pflag', '/', 'spf13/pflag')"
"('https://', 'ht', 's', '/Join%20Chat.svg', '/', 'Join%20Chat.svg')"
"('http://', 'ht', '', '/en/stable', '/', 'en/stable')"
"('https://', 'ht', 's', '/github.com/spf13/viper?status.svg', '/', 'github.com/spf13/viper?status.svg')"
"('https://', 'ht', 's', '/xordataexchange/crypt', '/', 'xordataexchange/crypt')"
"('http://', 'ht', '', '/wiki/Cobra_Commander', '/', 'wiki/Cobra_Commander')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('http://', 'ht', '', '/pkg/path/filepath', '/', 'pkg/path/filepath')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('www.', 'ht', '', '/licenses', '/', 'licenses')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('https://', 'ht', 's', '/spf13/afero.svg', '/', 'spf13/afero.svg')"
"('https://', 'ht', 's', '/project/spf13/afero', '/', 'project/spf13/afero')"
"('https://', 'ht', 's', '/spf13/afero?utm_source=badge&utm_medium=badge&utm_campaign=pr-badge&utm_content=badge', '/', 'spf13/afero?utm_source=badge&utm_medium=badge&utm_campaign=pr-badge&utm_content=badge')"
"('https://', 'ht', 's', '/github.com/spf13/afero?status.svg', '/', 'github.com/spf13/afero?status.svg')"
"('https://', 'ht', 's', '/mbertschler', '/', 'mbertschler')"
"('https://', 'ht', 's', '/assets/173412/11490338/d50e16dc-97a5-11e5-8b12-019a300d0fcb.png', '/', 'assets/173412/11490338/d50e16dc-97a5-11e5-8b12-019a300d0fcb.png')"
"('https://', 'ht', 's', '/api/projects/status/github/spf13/afero?branch=master&svg=true', '/', 'api/projects/status/github/spf13/afero?branch=master&svg=true')"
"('https://', 'ht', 's', '/jaqx0r', '/', 'jaqx0r')"
"('https://', 'ht', 's', '/spf13', '/', 'spf13')"
"('https://', 'ht', 's', '/xor-gate', '/', 'xor-gate')"
"('https://', 'ht', 's', '/spf13/afero', '/', 'spf13/afero')"
"('https://', 'ht', 's', '/github.com/spf13/afero', '/', 'github.com/spf13/afero')"
"('https://', 'ht', 's', '/Dev%20Chat.svg', '/', 'Dev%20Chat.svg')"
"('https://', 'ht', 's', '/spf13/afero/blob/master/LICENSE.txt', '/', 'spf13/afero/blob/master/LICENSE.txt')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('https://', 'ht', 's', '/src/path/filepath/path.go', '/', 'src/path/filepath/path.go')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('http://', 'ht', '', '/pkg/os', '/', 'pkg/os')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('https://', 'ht', 's', '/spf13/cast', '/', 'spf13/cast')"
"('https://', 'ht', 's', '/github.com/spf13/cast?status.svg', '/', 'github.com/spf13/cast?status.svg')"
"('https://', 'ht', 's', '/badge/github.com/spf13/cast', '/', 'badge/github.com/spf13/cast')"
"('https://', 'ht', 's', '/github.com/spf13/cast', '/', 'github.com/spf13/cast')"
"('http://', 'ht', '', '', '', '')"
"('https://', 'ht', 's', '/spf13/cast.svg?branch=master', '/', 'spf13/cast.svg?branch=master')"
"('https://', 'ht', 's', '/report/github.com/spf13/cast', '/', 'report/github.com/spf13/cast')"
"('http://', 'ht', '', '/blog/2016/02/29/auto-documented-makefile.html', '/', 'blog/2016/02/29/auto-documented-makefile.html')"
"('http://', 'ht', '', '/534', '/', '534')"
"('http://', 'ht', '', '/p/go/issues/detail?id=5252', '/', 'p/go/issues/detail?id=5252')"
"('https://', 'ht', 's', '/gorilla/mux', '/', 'gorilla/mux')"
"('https://', 'ht', 's', '/github.com/gorilla/mux#Router', '/', 'github.com/gorilla/mux#Router')"
"('https://', 'ht', 's', '/2013/06/09/writing-table-driven-tests-in-go', '/', '2013/06/09/writing-table-driven-tests-in-go')"
"('www.', 'ht', 's', '/pkg/mux', '/', 'pkg/mux')"
"('https://', 'ht', 's', '/github.com/gorilla/mux', '/', 'github.com/gorilla/mux')"
"('https://', 'ht', 's', '/github.com/gorilla/mux?status.svg', '/', 'github.com/gorilla/mux?status.svg')"
"('https://', 'ht', 's', '/github.com/gorilla/mux#CORSMethodMiddleware', '/', 'github.com/gorilla/mux#CORSMethodMiddleware')"
"('http://', 'ht', '', '/articles/technology/42?filter=gorilla', '/', 'articles/technology/42?filter=gorilla')"
"('www.', '', '', '', '', '')"
"('http://', 'ht', '', '', '', '')"
"('https://', 'ht', 's', '/github.com/gorilla/mux/-/badge.svg', '/', 'github.com/gorilla/mux/-/badge.svg')"
"('https://', 'ht', 's', '/gorilla/mux.svg?branch=master', '/', 'gorilla/mux.svg?branch=master')"
"('https://', 'ht', 's', '/doc/go1.8#http_shutdown', '/', 'doc/go1.8#http_shutdown')"
"('www.', 'ht', '', '/static/images/gorilla-icon-64.png', '/', 'static/images/gorilla-icon-64.png')"
"('https://', 'ht', 's', '/github.com/gorilla/mux?badge', '/', 'github.com/gorilla/mux?badge')"
"('https://', 'ht', 's', '/gh/gorilla/mux', '/', 'gh/gorilla/mux')"
"('http://', 'ht', '', '/articles/technology/42', '/', 'articles/technology/42')"
"('https://', 'ht', 's', '/doc/install#testing', '/', 'doc/install#testing')"
"('https://', 'ht', 's', '/gh/gorilla/mux.svg?style=svg', '/', 'gh/gorilla/mux.svg?style=svg')"
"('https://', 'ht', 's', '/moraes', '/', 'moraes')"
"('https://', 'ht', 's', '', '', '')"
"('http://', 'ht', '', '/articles/technology/42?filter=gorilla', '/', 'articles/technology/42?filter=gorilla')"
"('http://', 'ht', '', '', '', '')"
"('http://', 'ht', '', '/articles/technology/42', '/', 'articles/technology/42')"
"('www.', '', '', '', '', '')"
"('http://', 'ht', '', '/articles/technology/42', '/', 'articles/technology/42')"
"('www.', '', '', '', '', '')"
"('https://', 'ht', 's', ':9090', '', ':9090')"
"('https://', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '/pkg/net/#Conn', '/', 'pkg/net/#Conn')"
"('http://', 'ht', '', ':3128', '', ':3128')"
"('http://', 'ht', '', '/badge/GoDoc-Reference-blue.svg', '/', 'badge/GoDoc-Reference-blue.svg')"
"('https://', 'ht', 's', '/mwitkow/go-http-dialer', '/', 'mwitkow/go-http-dialer')"
"('https://', 'ht', 's', '/github.com/mwitkow/go-http-dialer', '/', 'github.com/mwitkow/go-http-dialer')"
"('https://', 'ht', 's', '/wiki/HTTP_tunnel#HTTP_CONNECT_tunneling', '/', 'wiki/HTTP_tunnel#HTTP_CONNECT_tunneling')"
"('www.', 'ht', '', '', '', '')"
"('http://', 'ht', '', '/report/mwitkow/go-http-dialer', '/', 'report/mwitkow/go-http-dialer')"
"('https://', 'ht', 's', '/mwitkow/go-http-dialer.svg', '/', 'mwitkow/go-http-dialer.svg')"
"('https://', 'ht', 's', '/html/rfc2616#section-9.9', '/', 'html/rfc2616#section-9.9')"
"('https://', 'ht', 's', '/wiki/Proxy_server', '/', 'wiki/Proxy_server')"
"('https://', 'ht', 's', '/badge/github.com/mwitkow/go-http-dialer', '/', 'badge/github.com/mwitkow/go-http-dialer')"
"('https://', 'ht', 's', '/badge/License-Apache%202.0-blue.svg', '/', 'badge/License-Apache%202.0-blue.svg')"
"('www.', 'ht', '', '/licenses', '/', 'licenses')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('https://', 'ht', 's', '/hc/en-us/articles/206544839', '/', 'hc/en-us/articles/206544839')"
"('https://', 'ht', 's', '/github.com/mitchellh/mapstructure', '/', 'github.com/mitchellh/mapstructure')"
"('http://', 'ht', '', '/github.com/mitchellh/mapstructure', '/', 'github.com/mitchellh/mapstructure')"
"('https://', 'ht', 's', '/github.com/mitchellh/mapstructure?status.svg', '/', 'github.com/mitchellh/mapstructure?status.svg')"
"('https://', 'ht', 's', '/readline/backer/29/website', '/', 'readline/backer/29/website')"
"('https://', 'ht', 's', '/github.com/chzyer/readline', '/', 'github.com/chzyer/readline')"
"('https://', 'ht', 's', '/readline/sponsor/0/avatar.svg', '/', 'readline/sponsor/0/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/26/website', '/', 'readline/sponsor/26/website')"
"('https://', 'ht', 's', '/readline/backer/24/avatar.svg', '/', 'readline/backer/24/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/24/website', '/', 'readline/sponsor/24/website')"
"('https://', 'ht', 's', '/readline/backer/11/avatar.svg', '/', 'readline/backer/11/avatar.svg')"
"('https://', 'ht', 's', '/readline/backer/0/avatar.svg', '/', 'readline/backer/0/avatar.svg')"
"('https://', 'ht', 's', '/github/stars/bom-d-van/harp.svg?label=bom-d-van/harp', '/', 'github/stars/bom-d-van/harp.svg?label=bom-d-van/harp')"
"('https://', 'ht', 's', '/readline/sponsor/12/avatar.svg', '/', 'readline/sponsor/12/avatar.svg')"
"('https://', 'ht', 's', '/readline/backer/14/website', '/', 'readline/backer/14/website')"
"('https://', 'ht', 's', '/readline/backer/14/avatar.svg', '/', 'readline/backer/14/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/29/avatar.svg', '/', 'readline/sponsor/29/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/16/avatar.svg', '/', 'readline/sponsor/16/avatar.svg')"
"('https://', 'ht', 's', '/readline/backer/25/website', '/', 'readline/backer/25/website')"
"('https://', 'ht', 's', '/github/stars/mehrdadrad/mylg.svg?label=mehrdadrad/mylg', '/', 'github/stars/mehrdadrad/mylg.svg?label=mehrdadrad/mylg')"
"('https://', 'ht', 's', '/readline/sponsor/9/website', '/', 'readline/sponsor/9/website')"
"('https://', 'ht', 's', '/readline/sponsor/29/website', '/', 'readline/sponsor/29/website')"
"('https://', 'ht', 's', '/readline/backer/16/website', '/', 'readline/backer/16/website')"
"('https://', 'ht', 's', '/readline/backer/27/website', '/', 'readline/backer/27/website')"
"('https://', 'ht', 's', '/readline/sponsor/7/website', '/', 'readline/sponsor/7/website')"
"('https://', 'ht', 's', '/readline/backer/28/avatar.svg', '/', 'readline/backer/28/avatar.svg')"
"('https://', 'ht', 's', '/readline/backer/11/website', '/', 'readline/backer/11/website')"
"('https://', 'ht', 's', '/bom-d-van/harp', '/', 'bom-d-van/harp')"
"('https://', 'ht', 's', '/readline/sponsor/9/avatar.svg', '/', 'readline/sponsor/9/avatar.svg')"
"('https://', 'ht', 's', '/abiosoft/ishell', '/', 'abiosoft/ishell')"
"('https://', 'ht', 's', '/docker/go-p9p', '/', 'docker/go-p9p')"
"('https://', 'ht', 's', '/readline/backer/23/website', '/', 'readline/backer/23/website')"
"('https://', 'ht', 's', '/github/stars/Netflix/hal-9001.svg?label=Netflix/hal-9001', '/', 'github/stars/Netflix/hal-9001.svg?label=Netflix/hal-9001')"
"('https://', 'ht', 's', '/readline/backer/26/website', '/', 'readline/backer/26/website')"
"('https://', 'ht', 's', '/readline/badge/sponsors.svg', '/', 'readline/badge/sponsors.svg')"
"('https://', 'ht', 's', '/github.com/chzyer/readline?status.svg', '/', 'github.com/chzyer/readline?status.svg')"
"('https://', 'ht', 's', '/readline/backer/1/avatar.svg', '/', 'readline/backer/1/avatar.svg')"
"('https://', 'ht', 's', '/readline/backer/19/avatar.svg', '/', 'readline/backer/19/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/10/avatar.svg', '/', 'readline/sponsor/10/avatar.svg')"
"('https://', 'ht', 's', '/readline/backer/29/avatar.svg', '/', 'readline/backer/29/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/25/avatar.svg', '/', 'readline/sponsor/25/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/27/website', '/', 'readline/sponsor/27/website')"
"('https://', 'ht', 's', '/readline/sponsor/19/avatar.svg', '/', 'readline/sponsor/19/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/18/avatar.svg', '/', 'readline/sponsor/18/avatar.svg')"
"('https://', 'ht', 's', '/readline/backer/0/website', '/', 'readline/backer/0/website')"
"('https://', 'ht', 's', '/readline/sponsor/4/website', '/', 'readline/sponsor/4/website')"
"('https://', 'ht', 's', '/readline/sponsor/3/website', '/', 'readline/sponsor/3/website')"
"('https://', 'ht', 's', '/readline#backer', '/', 'readline#backer')"
"('https://', 'ht', 's', '/readline/sponsor/16/website', '/', 'readline/sponsor/16/website')"
"('https://', 'ht', 's', '/readline/backer/7/avatar.svg', '/', 'readline/backer/7/avatar.svg')"
"('https://', 'ht', 's', '/chzyer/readline.svg?branch=master', '/', 'chzyer/readline.svg?branch=master')"
"('https://', 'ht', 's', '/readline/backer/20/avatar.svg', '/', 'readline/backer/20/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/8/website', '/', 'readline/sponsor/8/website')"
"('https://', 'ht', 's', '/readline/backer/23/avatar.svg', '/', 'readline/backer/23/avatar.svg')"
"('https://', 'ht', 's', '/readline/backer/15/avatar.svg', '/', 'readline/backer/15/avatar.svg')"
"('https://', 'ht', 's', '/readline/backer/6/website', '/', 'readline/backer/6/website')"
"('https://', 'ht', 's', '/youtube/doorman', '/', 'youtube/doorman')"
"('https://', 'ht', 's', '/readline/backer/18/avatar.svg', '/', 'readline/backer/18/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/25/website', '/', 'readline/sponsor/25/website')"
"('https://', 'ht', 's', '/readline/sponsor/10/website', '/', 'readline/sponsor/10/website')"
"('https://', 'ht', 's', '/readline/backer/12/website', '/', 'readline/backer/12/website')"
"('https://', 'ht', 's', '/readline/sponsor/23/avatar.svg', '/', 'readline/sponsor/23/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/3/avatar.svg', '/', 'readline/sponsor/3/avatar.svg')"
"('https://', 'ht', 's', '/readline/backer/5/website', '/', 'readline/backer/5/website')"
"('https://', 'ht', 's', '/knq/usql', '/', 'knq/usql')"
"('https://', 'ht', 's', '/chzyer/readline/releases', '/', 'chzyer/readline/releases')"
"('https://', 'ht', 's', '/Netflix/hal-9001', '/', 'Netflix/hal-9001')"
"('https://', 'ht', 's', '/readline/sponsor/20/avatar.svg', '/', 'readline/sponsor/20/avatar.svg')"
"('https://', 'ht', 's', '/readline/backer/17/avatar.svg', '/', 'readline/backer/17/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/22/website', '/', 'readline/sponsor/22/website')"
"('https://', 'ht', 's', '/a/32oseof9mkilg7t7d4780qt4m.png', '/', 'a/32oseof9mkilg7t7d4780qt4m.png')"
"('https://', 'ht', 's', '/readline/sponsor/6/avatar.svg', '/', 'readline/sponsor/6/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/11/avatar.svg', '/', 'readline/sponsor/11/avatar.svg')"
"('http://', 'ht', '', '/2145262190', '/', '2145262190')"
"('https://', 'ht', 's', '/readline/sponsor/2/avatar.svg', '/', 'readline/sponsor/2/avatar.svg')"
"('https://', 'ht', 's', '/readline/backer/17/website', '/', 'readline/backer/17/website')"
"('https://', 'ht', 's', '/readline/sponsor/1/website', '/', 'readline/sponsor/1/website')"
"('https://', 'ht', 's', '/readline/sponsor/20/website', '/', 'readline/sponsor/20/website')"
"('https://', 'ht', 's', '/readline/backer/9/website', '/', 'readline/backer/9/website')"
"('https://', 'ht', 's', '/github/stars/robertkrimen/otto.svg?label=robertkrimen/otto', '/', 'github/stars/robertkrimen/otto.svg?label=robertkrimen/otto')"
"('https://', 'ht', 's', '/readline/sponsor/15/website', '/', 'readline/sponsor/15/website')"
"('https://', 'ht', 's', '/readline/backer/12/avatar.svg', '/', 'readline/backer/12/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/21/avatar.svg', '/', 'readline/sponsor/21/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/13/website', '/', 'readline/sponsor/13/website')"
"('https://', 'ht', 's', '/readline/backer/16/avatar.svg', '/', 'readline/backer/16/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/6/website', '/', 'readline/sponsor/6/website')"
"('https://', 'ht', 's', '/readline/sponsor/5/avatar.svg', '/', 'readline/sponsor/5/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/13/avatar.svg', '/', 'readline/sponsor/13/avatar.svg')"
"('https://', 'ht', 's', '/readline/backer/4/avatar.svg', '/', 'readline/backer/4/avatar.svg')"
"('https://', 'ht', 's', '/github/stars/knq/usql.svg?label=knq/usql', '/', 'github/stars/knq/usql.svg?label=knq/usql')"
"('https://', 'ht', 's', '/readline#sponsor', '/', 'readline#sponsor')"
"('https://', 'ht', 's', '/readline/sponsor/0/website', '/', 'readline/sponsor/0/website')"
"('https://', 'ht', 's', '/readline/backer/1/website', '/', 'readline/backer/1/website')"
"('https://', 'ht', 's', '/readline/sponsor/15/avatar.svg', '/', 'readline/sponsor/15/avatar.svg')"
"('https://', 'ht', 's', '/readline/badge/backers.svg', '/', 'readline/badge/backers.svg')"
"('https://', 'ht', 's', '/chzyer/readline/assets/logo_f.png', '/', 'chzyer/readline/assets/logo_f.png')"
"('https://', 'ht', 's', '/readline/sponsor/26/avatar.svg', '/', 'readline/sponsor/26/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/2/website', '/', 'readline/sponsor/2/website')"
"('https://', 'ht', 's', '/readline/backer/5/avatar.svg', '/', 'readline/backer/5/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/23/website', '/', 'readline/sponsor/23/website')"
"('https://', 'ht', 's', '/readline/sponsor/21/website', '/', 'readline/sponsor/21/website')"
"('https://', 'ht', 's', '/readline/backer/3/website', '/', 'readline/backer/3/website')"
"('https://', 'ht', 's', '/remind101/empire', '/', 'remind101/empire')"
"('https://', 'ht', 's', '/robertkrimen/otto', '/', 'robertkrimen/otto')"
"('https://', 'ht', 's', '/readline/backer/3/avatar.svg', '/', 'readline/backer/3/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/4/avatar.svg', '/', 'readline/sponsor/4/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/14/avatar.svg', '/', 'readline/sponsor/14/avatar.svg')"
"('https://', 'ht', 's', '/readline/backer/2/website', '/', 'readline/backer/2/website')"
"('https://', 'ht', 's', '/cockroachdb/cockroach', '/', 'cockroachdb/cockroach')"
"('https://', 'ht', 's', '/readline/backer/4/website', '/', 'readline/backer/4/website')"
"('https://', 'ht', 's', '/chzyer/readline', '/', 'chzyer/readline')"
"('https://', 'ht', 's', '/readline/backer/13/avatar.svg', '/', 'readline/backer/13/avatar.svg')"
"('https://', 'ht', 's', '/readline/backer/8/website', '/', 'readline/backer/8/website')"
"('https://', 'ht', 's', '/readline/backer/21/avatar.svg', '/', 'readline/backer/21/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/5/website', '/', 'readline/sponsor/5/website')"
"('https://', 'ht', 's', '/readline/backer/10/avatar.svg', '/', 'readline/backer/10/avatar.svg')"
"('https://', 'ht', 's', '/readline/backer/28/website', '/', 'readline/backer/28/website')"
"('https://', 'ht', 's', '/github/tag/chzyer/readline.svg', '/', 'github/tag/chzyer/readline.svg')"
"('https://', 'ht', 's', '/readline/sponsor/8/avatar.svg', '/', 'readline/sponsor/8/avatar.svg')"
"('https://', 'ht', 's', '/readline/backer/20/website', '/', 'readline/backer/20/website')"
"('https://', 'ht', 's', '/readline/backer/26/avatar.svg', '/', 'readline/backer/26/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/17/avatar.svg', '/', 'readline/sponsor/17/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/28/website', '/', 'readline/sponsor/28/website')"
"('https://', 'ht', 's', '/chzyer/readline/assets/logo.png', '/', 'chzyer/readline/assets/logo.png')"
"('https://', 'ht', 's', '/github/stars/youtube/doorman.svg?label=youtube/doorman', '/', 'github/stars/youtube/doorman.svg?label=youtube/doorman')"
"('https://', 'ht', 's', '/readline/backer/22/website', '/', 'readline/backer/22/website')"
"('https://', 'ht', 's', '/badge/license-MIT-brightgreen.svg', '/', 'badge/license-MIT-brightgreen.svg')"
"('https://', 'ht', 's', '/a/32oseof9mkilg7t7d4780qt4m', '/', 'a/32oseof9mkilg7t7d4780qt4m')"
"('https://', 'ht', 's', '/readline/backer/6/avatar.svg', '/', 'readline/backer/6/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/18/website', '/', 'readline/sponsor/18/website')"
"('https://', 'ht', 's', '/readline/backer/24/website', '/', 'readline/backer/24/website')"
"('https://', 'ht', 's', '/readline/backer/10/website', '/', 'readline/backer/10/website')"
"('https://', 'ht', 's', '/github/stars/docker/go-p9p.svg?label=docker/go-p9p', '/', 'github/stars/docker/go-p9p.svg?label=docker/go-p9p')"
"('https://', 'ht', 's', '/readline/backer/25/avatar.svg', '/', 'readline/backer/25/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/11/website', '/', 'readline/sponsor/11/website')"
"('https://', 'ht', 's', '/readline/sponsor/17/website', '/', 'readline/sponsor/17/website')"
"('https://', 'ht', 's', '/readline/backer/19/website', '/', 'readline/backer/19/website')"
"('https://', 'ht', 's', '/readline/backer/13/website', '/', 'readline/backer/13/website')"
"('https://', 'ht', 's', '/readline/sponsor/22/avatar.svg', '/', 'readline/sponsor/22/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/12/website', '/', 'readline/sponsor/12/website')"
"('https://', 'ht', 's', '/readline/backer/21/website', '/', 'readline/backer/21/website')"
"('https://', 'ht', 's', '/readline/backer/15/website', '/', 'readline/backer/15/website')"
"('https://', 'ht', 's', '/readline/backer/7/website', '/', 'readline/backer/7/website')"
"('https://', 'ht', 's', '/readline/backer/27/avatar.svg', '/', 'readline/backer/27/avatar.svg')"
"('https://', 'ht', 's', '/github/stars/cockroachdb/cockroach.svg?label=cockroachdb/cockroach', '/', 'github/stars/cockroachdb/cockroach.svg?label=cockroachdb/cockroach')"
"('https://', 'ht', 's', '/readline/sponsor/28/avatar.svg', '/', 'readline/sponsor/28/avatar.svg')"
"('https://', 'ht', 's', '/github/stars/abiosoft/ishell.svg?label=abiosoft/ishell', '/', 'github/stars/abiosoft/ishell.svg?label=abiosoft/ishell')"
"('https://', 'ht', 's', '/readline/sponsor/19/website', '/', 'readline/sponsor/19/website')"
"('https://', 'ht', 's', '/chzyer', '/', 'chzyer')"
"('https://', 'ht', 's', '/readline/sponsor/24/avatar.svg', '/', 'readline/sponsor/24/avatar.svg')"
"('https://', 'ht', 's', '/readline/backer/2/avatar.svg', '/', 'readline/backer/2/avatar.svg')"
"('https://', 'ht', 's', '/readline/backer/9/avatar.svg', '/', 'readline/backer/9/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/27/avatar.svg', '/', 'readline/sponsor/27/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/7/avatar.svg', '/', 'readline/sponsor/7/avatar.svg')"
"('https://', 'ht', 's', '/readline/backer/18/website', '/', 'readline/backer/18/website')"
"('https://', 'ht', 's', '/readline/backer/22/avatar.svg', '/', 'readline/backer/22/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/1/avatar.svg', '/', 'readline/sponsor/1/avatar.svg')"
"('https://', 'ht', 's', '/mehrdadrad/mylg', '/', 'mehrdadrad/mylg')"
"('https://', 'ht', 's', '/readline/backer/8/avatar.svg', '/', 'readline/backer/8/avatar.svg')"
"('https://', 'ht', 's', '/readline/sponsor/14/website', '/', 'readline/sponsor/14/website')"
"('https://', 'ht', 's', '/github/stars/remind101/empire.svg?label=remind101/empire', '/', 'github/stars/remind101/empire.svg?label=remind101/empire')"
"('https://', 'ht', 's', '/chzyer/readline/pull/46', '/', 'chzyer/readline/pull/46')"
"('https://', 'ht', 's', '/chzyer/readline/pull/38', '/', 'chzyer/readline/pull/38')"
"('https://', 'ht', 's', '/chzyer/readline/pull/43', '/', 'chzyer/readline/pull/43')"
"('https://', 'ht', 's', '/chzyer/readline/pull/27', '/', 'chzyer/readline/pull/27')"
"('https://', 'ht', 's', '/chzyer/readline/pull/17', '/', 'chzyer/readline/pull/17')"
