"(""SQLITE_AFF_REAL     'e'"", '//')"
"('TF_Virtual         0x10    /* Is a virtual table */', '//')"
"('TIMER_END         g_elapsed=sqlite3Hwtime()-g_start', '//')"
"('TIMER_START       g_start=sqlite3Hwtime()', '//')"
"('TK_ABORT                          28', '//')"
"('TK_ADD                            140', '//')"
"('TK_AFTER                          29', '//')"
"('TK_AGG_COLUMN                     153', '//')"
"('TK_AGG_FUNCTION                   152', '//')"
"('TK_ALL                            113', '//')"
"('TK_ALTER                          139', '//')"
"('TK_ANALYZE                        30', '//')"
"('TK_AND                            67', '//')"
"('TK_ANY                            65', '//')"
"('TK_AS                             24', '//')"
"('TK_ASC                            31', '//')"
"('TK_ATTACH                         32', '//')"
"('TK_AUTOINCR                       103', '//')"
"('TK_BEFORE                         33', '//')"
"('TK_BEGIN                           5', '//')"
"('TK_BETWEEN                        69', '//')"
"('TK_BITAND                         80', '//')"
"('TK_BITNOT                         93', '//')"
"('TK_BITOR                          81', '//')"
"('TK_BLOB                           131', '//')"
"('TK_BY                             34', '//')"
"('TK_CASCADE                        35', '//')"
"('TK_CASE                           134', '//')"
"('TK_CAST                           36', '//')"
"('TK_CHECK                          101', '//')"
"('TK_COLLATE                        90', '//')"
"('TK_COLUMN                         151', '//')"
"('TK_COLUMNKW                       37', '//')"
"('TK_COMMA                          25', '//')"
"('TK_COMMIT                         10', '//')"
"('TK_CONCAT                         89', '//')"
"('TK_CONFLICT                       38', '//')"
"('TK_CONSTRAINT                     96', '//')"
"('TK_CREATE                         17', '//')"
"('TK_CTIME_KW                       64', '//')"
"('TK_DATABASE                       39', '//')"
"('TK_DEFAULT                        97', '//')"
"('TK_DEFERRABLE                     109', '//')"
"('TK_DEFERRED                        7', '//')"
"('TK_DELETE                         105', '//')"
"('TK_DESC                           40', '//')"
"('TK_DETACH                         41', '//')"
"('TK_DISTINCT                       117', '//')"
"('TK_DOT                            118', '//')"
"('TK_DROP                           111', '//')"
"('TK_EACH                           42', '//')"
"('TK_ELSE                           137', '//')"
"('TK_END                            11', '//')"
"('TK_END_OF_FILE                    146', '//')"
"('TK_EQ                             74', '//')"
"('TK_ESCAPE                         79', '//')"
"('TK_EXCEPT                         114', '//')"
"('TK_EXCLUSIVE                       9', '//')"
"('TK_EXISTS                         20', '//')"
"('TK_EXPLAIN                         2', '//')"
"('TK_FAIL                           43', '//')"
"('TK_FLOAT                          130', '//')"
"('TK_FOR                            44', '//')"
"('TK_FOREIGN                        110', '//')"
"('TK_FROM                           119', '//')"
"('TK_FUNCTION                       150', '//')"
"('TK_GE                             78', '//')"
"('TK_GROUP                          123', '//')"
"('TK_GT                             75', '//')"
"('TK_HAVING                         124', '//')"
"('TK_ID                             26', '//')"
"('TK_IF                             18', '//')"
"('TK_IGNORE                         45', '//')"
"('TK_ILLEGAL                        147', '//')"
"('TK_IMMEDIATE                       8', '//')"
"('TK_IN                             70', '//')"
"('TK_INDEX                          138', '//')"
"('TK_INDEXED                        27', '//')"
"('TK_INITIALLY                      46', '//')"
"('TK_INSERT                         107', '//')"
"('TK_INSTEAD                        47', '//')"
"('TK_INTEGER                        129', '//')"
"('TK_INTERSECT                      115', '//')"
"('TK_INTO                           127', '//')"
"('TK_IS                             68', '//')"
"('TK_ISNULL                         71', '//')"
"('TK_JOIN                           120', '//')"
"('TK_JOIN_KW                        95', '//')"
"('TK_KEY                            50', '//')"
"('TK_LE                             76', '//')"
"('TK_LIKE_KW                        48', '//')"
"('TK_LIMIT                          125', '//')"
"('TK_LP                             22', '//')"
"('TK_LSHIFT                         82', '//')"
"('TK_LT                             77', '//')"
"('TK_MATCH                          49', '//')"
"('TK_MINUS                          85', '//')"
"('TK_NE                             73', '//')"
"('TK_NOT                            19', '//')"
"('TK_NOTNULL                        72', '//')"
"('TK_NULL                           98', '//')"
"('TK_OF                             51', '//')"
"('TK_OFFSET                         52', '//')"
"('TK_ON                             104', '//')"
"('TK_OR                             66', '//')"
"('TK_ORDER                          122', '//')"
"('TK_PLAN                            4', '//')"
"('TK_PLUS                           84', '//')"
"('TK_PRAGMA                         53', '//')"
"('TK_PRIMARY                        99', '//')"
"('TK_QUERY                           3', '//')"
"('TK_RAISE                          54', '//')"
"('TK_REFERENCES                     102', '//')"
"('TK_REGISTER                       132', '//')"
"('TK_REINDEX                        62', '//')"
"('TK_RELEASE                        14', '//')"
"('TK_REM                            88', '//')"
"('TK_RENAME                         63', '//')"
"('TK_REPLACE                        55', '//')"
"('TK_RESTRICT                       56', '//')"
"('TK_ROLLBACK                       12', '//')"
"('TK_ROW                            57', '//')"
"('TK_RP                             23', '//')"
"('TK_RSHIFT                         83', '//')"
"('TK_SAVEPOINT                      13', '//')"
"('TK_SELECT                         116', '//')"
"('TK_SEMI                            1', '//')"
"('TK_SET                            108', '//')"
"('TK_SLASH                          87', '//')"
"('TK_SPACE                          148', '//')"
"('TK_STAR                           86', '//')"
"('TK_STRING                         94', '//')"
"('TK_TABLE                          16', '//')"
"('TK_TEMP                           21', '//')"
"('TK_THEN                           136', '//')"
"('TK_TO                             15', '//')"
"('TK_TO_BLOB                        142', '//')"
"('TK_TO_INT                         144', '//')"
"('TK_TO_NUMERIC                     143', '//')"
"('TK_TO_REAL                        145', '//')"
"('TK_TO_TEXT                        141', '//')"
"('TK_TRANSACTION                     6', '//')"
"('TK_TRIGGER                        58', '//')"
"('TK_UMINUS                         91', '//')"
"('TK_UNCLOSED_STRING                149', '//')"
"('TK_UNION                          112', '//')"
"('TK_UNIQUE                         100', '//')"
"('TK_UPDATE                         106', '//')"
"('TK_UPLUS                          92', '//')"
"('TK_USING                          121', '//')"
"('TK_VACUUM                         59', '//')"
"('TK_VALUES                         128', '//')"
"('TK_VARIABLE                       133', '//')"
"('TK_VIEW                           60', '//')"
"('TK_VIRTUAL                        61', '//')"
"('TK_WHEN                           135', '//')"
"('TK_WHERE                          126', '//')"
"('TOKEN (yyminor.yy0)', '//')"
"('TRACE_IDX_INPUTS(A)', '//')"
"('UNPACKED_IGNORE_ROWID  0x0004  /* Ignore trailing rowid on key1 */', '//')"
"('UNPACKED_INCRKEY       0x0008  /* Make this key an epsilon larger */', '//')"
"('UNPACKED_NEED_DESTROY  0x0002  /* apMem[]s should all be destroyed */', '//')"
"('UNPACKED_NEED_FREE     0x0001  /* Memory is from sqlite3Malloc() */', '//')"
"('UNPACKED_PREFIX_MATCH  0x0010  /* A prefix match is considered OK */', '//')"
"('UnlockFile(a,b,c,d,e)     winceUnlockFile(&a, b, c, d, e)', '//')"
"('VDBE_MAGIC_HALT     0x519c2973    /* VDBE has completed execution */', '//')"
"('VDBE_MAGIC_INIT     0x26bceaa5    /* Building a VDBE program */', '//')"
"('VDBE_MAGIC_RUN      0xbdf20da3    /* VDBE is ready to execute */', '//')"
"('WHERE_BTM_LIMIT    0x00200000  /* x>EXPR or x>=EXPR constraint */', '//')"
"('WHERE_COLUMN_EQ    0x00010000  /* x=EXPR or x IN (...) or x IS NULL */', '//')"
"('WHERE_COLUMN_IN    0x00040000  /* x IN (...) */', '//')"
"('WHERE_COLUMN_NULL  0x00080000  /* x IS NULL */', '//')"
"('WHERE_COLUMN_RANGE 0x00020000  /* x<EXPR and/or x>EXPR */', '//')"
"('WHERE_DUPLICATES_OK    0x0008 /* Ok to return a row more than once */', '//')"
"('WHERE_IDX_ONLY     0x00800000  /* Use index only - omit table */', '//')"
"('WHERE_INDEXED      0x000f0000  /* Anything that uses an index */', '//')"
"('WHERE_IN_ABLE      0x000f1000  /* Able to support an IN operator */', '//')"
"('WHERE_OMIT_CLOSE       0x0020  /* Omit close of table & index cursors */', '//')"
"('WHERE_OMIT_OPEN        0x0010  /* Table cursor are already open */', '//')"
"('WHERE_ONEPASS_DESIRED  0x0004 /* Want to do one-pass UPDATE/DELETE */', '//')"
"('WHERE_ORDERBY      0x01000000  /* Output will appear in correct order */', '//')"
"('WHERE_ORDERBY_MAX      0x0002 /* ORDER BY processing for max() func */', '//')"
"('WHERE_ORDERBY_MIN      0x0001 /* ORDER BY processing for min() func */', '//')"
"('WHERE_ORDERBY_NORMAL   0x0000 /* No-op */', '//')"
"('WHERE_REVERSE      0x02000000  /* Scan in reverse order */', '//')"
"('WHERE_ROWID_EQ     0x00001000  /* rowid=EXPR or rowid IN (...) */', '//')"
"('WHERE_ROWID_RANGE  0x00002000  /* rowid<EXPR and/or rowid>EXPR */', '//')"
"('WHERE_TOP_LIMIT    0x00100000  /* x<EXPR or x<=EXPR constraint */', '//')"
"('WHERE_UNIQUE       0x04000000  /* Selects no more than one row */', '//')"
"('WHERE_VIRTUALTABLE 0x08000000  /* Use virtual-table processing */', '//')"
"('WO_ALL    0xfff       /* Mask of all possible WO_* values */', '//')"
"('WO_AND    0x200       /* Two or more AND-connected terms */', '//')"
"('WO_EQ     0x002', '//')"
"('WO_GE     (WO_EQ<<(TK_GE-TK_EQ))', '//')"
"('WO_GT     (WO_EQ<<(TK_GT-TK_EQ))', '//')"
"('WO_IN     0x001', '//')"
"('WO_ISNULL 0x080', '//')"
"('WO_LE     (WO_EQ<<(TK_LE-TK_EQ))', '//')"
"('WO_LT     (WO_EQ<<(TK_LT-TK_EQ))', '//')"
"('WO_MATCH  0x040', '//')"
"('WO_OR     0x100       /* Two or more OR-connected terms */', '//')"
"('WRC_Continue    0   /* Continue down into children */', '//')"
"('WRC_Prune       1   /* Omit children but continue walking siblings */', '//')"
"('WRITE_UTF16BE(zOut, c) {                                    \\', '//')"
"('WRITE_UTF16LE(zOut, c) {                                    \\', '//')"
"('WRITE_UTF8(zOut, c) {                          \\', '//')"
"('_GNU_SOURCE', '//')"
"('_SQLITE3EXT_H_', '//')"
"('_SQLITE3_H_', '//')"
"('_SQLITE_OS_C_ 1', '//')"
"('_SQLITE_VDBE_H_', '//')"
"('btreeIntegrity(p) \\', '//')"
"('etCHARX       9 /* Characters. %c */', '//')"
"('etDYNSTRING   7 /* Dynamically allocated strings. %z */', '//')"
"('etEXP         3 /* Exponentional notation. %e and %E */', '//')"
"('etFLOAT       2 /* Floating point.  %f */', '//')"
"('etGENERIC     4 /* Floating or exponential, depending on exponent. %g */', '//')"
"('etORDINAL    16 /* %r -> 1st, 2nd, 3rd, 4th, etc.  English only */', '//')"
"('etPERCENT     8 /* Percent symbol. %% */', '//')"
"('etPOINTER    14 /* The %p conversion */', '//')"
"('etRADIX       1 /* Integer types.  %d, %x, %o, and so forth */', '//')"
"('etSIZE        5 /* Return number of characters processed so far. %n */', '//')"
"('etSQLESCAPE3 15 /* %w -> Strings with \'\\""\' doubled */', '//')"
"('etSRCLIST    13 /* a pointer to a SrcList */', '//')"
"('etSTRING      6 /* Strings. %s */', '//')"
"('etTOKEN      12 /* a pointer to a Token structure */', '//')"
"('findCell(P,I) \\', '//')"
"('get4byte sqlite3Get4byte', '//')"
"('getCellInfo(pCur)                                                      \\', '//')"
"('getVarint    sqlite3GetVarint', '//')"
"('getVarint32(A,B)  (u8)((*(A)<(u8)0x80) ? ((B) = (u32)*(A)),1 : sqlite3GetVarint32((A), (u32 *)&(B)))', '//')"
"('parseCell(pPage, iCell, pInfo) \\', '//')"
"('pcache1EnterMutex() sqlite3_mutex_enter(pcache1.mutex)', '//')"
"('ptrmapGet(w,x,y,z) SQLITE_OK', '//')"
"('ptrmapPut(w,x,y,z,rc)', '//')"
"('putVarint    sqlite3PutVarint', '//')"
"('putVarint32(A,B)  (u8)(((u32)(B)<(u32)0x80) ? (*(A) = (unsigned char)(B)),1 : sqlite3PutVarint32((A), (B)))', '//')"
"('restoreCursorPosition(p) \\', '//')"
"('setSharedCacheTableLock(a,b,c) SQLITE_OK', '//')"
"('sqlite3BeginBenignMalloc()', '//')"
"('sqlite3DebugPrintf printf', '//')"
"('sqlite3ExprSetHeight(x,y)', '//')"
"('sqlite3Malloc                 sqlite3_api->malloc', '//')"
"('sqlite3MutexAlloc            sqlite3_api->mutex_alloc', '//')"
"('sqlite3PagerGet(A,B,C) sqlite3PagerAcquire(A,B,C,0)', '//')"
"('sqlite3ParserARG_FETCH Parse pParse = yypParser.pParse', '//')"
"('sqlite3ParserARG_PDECL ,Parse pParse', '//')"
"('sqlite3ParserARG_SDECL Parse pParse;', '//')"
"('sqlite3SelectExprHeight(x) 0', '//')"
"('sqlite3StrNICmp sqlite3_strnicmp', '//')"
"('sqlite3_bind_blob              sqlite3_api->bind_blob', '//')"
"('sqlite3_bind_double            sqlite3_api->bind_double', '//')"
"('sqlite3_bind_int               sqlite3_api->bind_int', '//')"
"('sqlite3_bind_int64             sqlite3_api->bind_int64', '//')"
"('sqlite3_bind_null              sqlite3_api->bind_null', '//')"
"('sqlite3_bind_parameter_count   sqlite3_api->bind_parameter_count', '//')"
"('sqlite3_bind_parameter_index   sqlite3_api->bind_parameter_index', '//')"
"('sqlite3_bind_parameter_name    sqlite3_api->bind_parameter_name', '//')"
"('sqlite3_bind_text              sqlite3_api->bind_text', '//')"
"('sqlite3_bind_text16            sqlite3_api->bind_text16', '//')"
"('sqlite3_bind_value             sqlite3_api->bind_value', '//')"
"('sqlite3_bind_zeroblob          sqlite3_api->bind_zeroblob', '//')"
"('sqlite3_bind_zeroblob  0', '//')"
"('sqlite3_blob_bytes             sqlite3_api->blob_bytes', '//')"
"('sqlite3_blob_bytes     0', '//')"
"('sqlite3_blob_close             sqlite3_api->blob_close', '//')"
"('sqlite3_blob_close     0', '//')"
"('sqlite3_blob_open              sqlite3_api->blob_open', '//')"
"('sqlite3_blob_open      0', '//')"
"('sqlite3_blob_read              sqlite3_api->blob_read', '//')"
"('sqlite3_blob_read      0', '//')"
"('sqlite3_blob_write             sqlite3_api->blob_write', '//')"
"('sqlite3_busy_handler           sqlite3_api->busy_handler', '//')"
"('sqlite3_busy_timeout           sqlite3_api->busy_timeout', '//')"
"('sqlite3_changes                sqlite3_api->changes', '//')"
"('sqlite3_clear_bindings         sqlite3_api->clear_bindings', '//')"
"('sqlite3_close                  sqlite3_api->close', '//')"
"('sqlite3_collation_needed       sqlite3_api->collation_needed', '//')"
"('sqlite3_collation_needed16     sqlite3_api->collation_needed16', '//')"
"('sqlite3_column_blob            sqlite3_api->column_blob', '//')"
"('sqlite3_column_bytes           sqlite3_api->column_bytes', '//')"
"('sqlite3_column_bytes16         sqlite3_api->column_bytes16', '//')"
"('sqlite3_column_count           sqlite3_api->column_count', '//')"
"('sqlite3_column_database_name   sqlite3_api->column_database_name', '//')"
"('sqlite3_column_database_name16 sqlite3_api->column_database_name16', '//')"
"('sqlite3_column_decltype        sqlite3_api->column_decltype', '//')"
"('sqlite3_column_decltype16      sqlite3_api->column_decltype16', '//')"
"('sqlite3_column_double          sqlite3_api->column_double', '//')"
"('sqlite3_column_int             sqlite3_api->column_int', '//')"
"('sqlite3_column_int64           sqlite3_api->column_int64', '//')"
"('sqlite3_column_name            sqlite3_api->column_name', '//')"
"('sqlite3_column_name16          sqlite3_api->column_name16', '//')"
"('sqlite3_column_origin_name     sqlite3_api->column_origin_name', '//')"
"('sqlite3_column_origin_name16   sqlite3_api->column_origin_name16', '//')"
"('sqlite3_column_table_name      sqlite3_api->column_table_name', '//')"
"('sqlite3_column_table_name16    sqlite3_api->column_table_name16', '//')"
"('sqlite3_column_text            sqlite3_api->column_text', '//')"
"('sqlite3_column_text16          sqlite3_api->column_text16', '//')"
"('sqlite3_column_type            sqlite3_api->column_type', '//')"
"('sqlite3_column_value           sqlite3_api->column_value', '//')"
"('sqlite3_commit_hook            sqlite3_api->commit_hook', '//')"
"('sqlite3_complete               sqlite3_api->complete', '//')"
"('sqlite3_complete16             sqlite3_api->complete16', '//')"
"('sqlite3_context_db_handle      sqlite3_api->context_db_handle', '//')"
"('sqlite3_create_collation       sqlite3_api->create_collation', '//')"
"('sqlite3_create_collation16     sqlite3_api->create_collation16', '//')"
"('sqlite3_create_collation_v2    sqlite3_api->create_collation_v2', '//')"
"('sqlite3_create_function        sqlite3_api->create_function', '//')"
"('sqlite3_create_function16      sqlite3_api->create_function16', '//')"
"('sqlite3_create_module          sqlite3_api->create_module', '//')"
"('sqlite3_create_module_v2       sqlite3_api->create_module_v2', '//')"
"('sqlite3_data_count             sqlite3_api->data_count', '//')"
"('sqlite3_db_handle              sqlite3_api->db_handle', '//')"
"('sqlite3_declare_vtab           sqlite3_api->declare_vtab', '//')"
"('sqlite3_enable_shared_cache    sqlite3_api->enable_shared_cache', '//')"
"('sqlite3_errcode                sqlite3_api->errcode', '//')"
"('sqlite3_errmsg                 sqlite3_api->errmsg', '//')"
"('sqlite3_errmsg16               sqlite3_api->errmsg16', '//')"
"('sqlite3_extended_result_codes  sqlite3_api->extended_result_codes', '//')"
"('sqlite3_file_control           sqlite3_api->file_control', '//')"
"('sqlite3_finalize               sqlite3_api->finalize', '//')"
"('sqlite3_get_autocommit         sqlite3_api->get_autocommit', '//')"
"('sqlite3_get_auxdata            sqlite3_api->get_auxdata', '//')"
"('sqlite3_interrupt              sqlite3_api->interruptx', '//')"
"('sqlite3_last_insert_rowid      sqlite3_api->last_insert_rowid', '//')"
"('sqlite3_libversion             sqlite3_api->libversion', '//')"
"('sqlite3_libversion_number      sqlite3_api->libversion_number', '//')"
"('sqlite3_limit                  sqlite3_api->limit', '//')"
"('sqlite3_memory_highwater       sqlite3_api->memory_highwater', '//')"
"('sqlite3_memory_used            sqlite3_api->memory_used', '//')"
"('sqlite3_mprintf                sqlite3_api->mprintf', '//')"
"('sqlite3_mutex_enter            sqlite3_api->mutex_enter', '//')"
"('sqlite3_mutex_free             sqlite3_api->mutex_free', '//')"
"('sqlite3_mutex_leave            sqlite3_api->mutex_leave', '//')"
"('sqlite3_mutex_try              sqlite3_api->mutex_try', '//')"
"('sqlite3_next_stmt              sqlite3_api->next_stmt', '//')"
"('sqlite3_open                   sqlite3_api.open', '//')"
"('sqlite3_open16                 sqlite3_api.open16', '//')"
"('sqlite3_open_v2                sqlite3_api.open_v2', '//')"
"('sqlite3_overload_function      sqlite3_api->overload_function', '//')"
"('sqlite3_prepare                sqlite3_api.prepare', '//')"
"('sqlite3_prepare16              sqlite3_api.prepare16', '//')"
"('sqlite3_prepare16_v2           sqlite3_api.prepare16_v2', '//')"
"('sqlite3_prepare_v2             sqlite3_api.prepare_v2', '//')"
"('sqlite3_profile                sqlite3_api.profile', '//')"
"('sqlite3_progress_handler       sqlite3_api.progress_handler', '//')"
"('sqlite3_randomness             sqlite3_api->randomness', '//')"
"('sqlite3_realloc                sqlite3_api->realloc', '//')"
"('sqlite3_release_memory         sqlite3_api->release_memory', '//')"
"('sqlite3_reset                  sqlite3_api->reset', '//')"
"('sqlite3_result_blob            sqlite3_api->result_blob', '//')"
"('sqlite3_result_double          sqlite3_api->result_double', '//')"
"('sqlite3_result_error           sqlite3_api->result_error', '//')"
"('sqlite3_result_error16         sqlite3_api->result_error16', '//')"
"('sqlite3_result_error_code      sqlite3_api->result_error_code', '//')"
"('sqlite3_result_error_nomem     sqlite3_api->result_error_nomem', '//')"
"('sqlite3_result_error_toobig    sqlite3_api->result_error_toobig', '//')"
"('sqlite3_result_int             sqlite3_api->result_int', '//')"
"('sqlite3_result_int64           sqlite3_api->result_int64', '//')"
"('sqlite3_result_null            sqlite3_api->result_null', '//')"
"('sqlite3_result_text            sqlite3_api->result_text', '//')"
"('sqlite3_result_text16          sqlite3_api->result_text16', '//')"
"('sqlite3_result_text16be        sqlite3_api->result_text16be', '//')"
"('sqlite3_result_text16le        sqlite3_api->result_text16le', '//')"
"('sqlite3_result_value           sqlite3_api->result_value', '//')"
"('sqlite3_result_zeroblob        sqlite3_api->result_zeroblob', '//')"
"('sqlite3_rollback_hook          sqlite3_api->rollback_hook', '//')"
"('sqlite3_set_authorizer         sqlite3_api->set_authorizer', '//')"
"('sqlite3_set_auxdata            sqlite3_api->set_auxdata', '//')"
"('sqlite3_sleep                  sqlite3_api->sleep', '//')"
"('sqlite3_snprintf               sqlite3_api->snprintf', '//')"
"('sqlite3_soft_heap_limit        sqlite3_api->soft_heap_limit', '//')"
"('sqlite3_sql                    sqlite3_api->sql', '//')"
"('sqlite3_step                   sqlite3_api->step', '//')"
"('sqlite3_table_column_metadata  sqlite3_api->table_column_metadata', '//')"
"('sqlite3_test_control           sqlite3_api->test_control', '//')"
"('sqlite3_thread_cleanup         sqlite3_api->thread_cleanup', '//')"
"('sqlite3_threadsafe             sqlite3_api->xthreadsafe', '//')"
"('sqlite3_total_changes          sqlite3_api->total_changes', '//')"
"('sqlite3_update_hook            sqlite3_api->update_hook', '//')"
"('sqlite3_user_data              sqlite3_api->user_data', '//')"
"('sqlite3_value_blob             sqlite3_api->value_blob', '//')"
"('sqlite3_value_bytes            sqlite3_api->value_bytes', '//')"
"('sqlite3_value_bytes16          sqlite3_api->value_bytes16', '//')"
"('sqlite3_value_double           sqlite3_api->value_double', '//')"
"('sqlite3_value_int              sqlite3_api->value_int', '//')"
"('sqlite3_value_int64            sqlite3_api->value_int64', '//')"
"('sqlite3_value_numeric_type     sqlite3_api->value_numeric_type', '//')"
"('sqlite3_value_text             sqlite3_api->value_text', '//')"
"('sqlite3_value_text16           sqlite3_api->value_text16', '//')"
"('sqlite3_value_text16be         sqlite3_api->value_text16be', '//')"
"('sqlite3_value_text16le         sqlite3_api->value_text16le', '//')"
"('sqlite3_value_type             sqlite3_api->value_type', '//')"
"('sqlite3_vfs_find               sqlite3_api->vfs_find', '//')"
"('sqlite3_vfs_register           sqlite3_api->vfs_register', '//')"
"('sqlite3_vfs_unregister         sqlite3_api->vfs_unregister', '//')"
"('sqlite3_vmprintf               sqlite3_api->vmprintf', '//')"
"('sqliteHashCount(H)  ((H)->count)', '//')"
"('sqliteHashKey(E)    ((E)->pKey)', '//')"
"('sqliteHashKeysize(E) ((E)->nKey)', '//')"
