"('0-6W.', '', '-6W')"
"('gLB5.', '', '')"
"('gQj.', '', '')"
"('gVRvoo5.', '', '')"
"('ga.', '', '')"
"('gd.', '', '')"
"('ge.', '', '')"
"('gg.', '', '')"
"('gh4.', '', '')"
"('ghm.', '', '')"
"('github.', '', '')"
"('gl6.', '', '')"
"('gm.', '', '')"
"('gn.', '', '')"
"('gt.', '', '')"
"('gtr86.', '', '')"
"('gv.', '', '')"
"('gx.', '', '')"
"('gzF.', '', '')"
"('h-L.', '', '-L')"
"('h.', '', '')"
"('h0.', '', '')"
"('h7Ag.', '', '')"
"('h99.', '', '')"
"('hBwOs.', '', '')"
"('hEP.', '', '')"
"('hFZ.', '', '')"
"('hMbAXUg.', '', '')"
"('hQbR.', '', '')"
"('hSIG.', '', '')"
"('hUM5.', '', '')"
"('ha.', '', '')"
"('hb.', '', '')"
"('hcz.', '', '')"
"('hh.', '', '')"
"('hi.', '', '')"
"('hj.', '', '')"
"('ho4.', '', '')"
"('hq9S.', '', '')"
"('hr.', '', '')"
"('ht.', '', '')"
"('hwGF9.', '', '')"
"('hx.', '', '')"
"('hy.', '', '')"
"('i.', '', '')"
"('iB.', '', '')"
"('iCb.', '', '')"
"('iD.', '', '')"
"('iI.', '', '')"
"('iK.', '', '')"
"('iL.', '', '')"
"('iO.', '', '')"
"('iW.', '', '')"
"('iconPictureBox.', '', '')"
"('id.', '', '')"
"('ih3.', '', '')"
"('ihaN.', '', '')"
"('in.', '', '')"
"('ip.', '', '')"
"('ix.', '', '')"
"('j.', '', '')"
"('j1.', '', '')"
"('j68.', '', '')"
"('j9iW.', '', '')"
"('jJz.', '', '')"
"('jSk.', '', '')"
"('jUM.', '', '')"
"('jY.', '', '')"
"('ja.', '', '')"
"('jb2.', '', '')"
"('jl.', '', '')"
"('jlTbw.', '', '')"
"('jm.', '', '')"
"('jn.', '', '')"
"('jo.', '', '')"
"('jp6.', '', '')"
"('jr.', '', '')"
"('js.', '', '')"
"('k.', '', '')"
"('k1a.', '', '')"
"('k65V6.', '', '')"
"('kA.', '', '')"
"('kJwd.', '', '')"
"('kK.', '', '')"
"('kL.', '', '')"
"('kN3.', '', '')"
"('kO.', '', '')"
"('kYF0F0.', '', '')"
"('kc.', '', '')"
"('keepass.', '', '')"
"('keys.', '', '')"
"('kh9.', '', '')"
"('ki.', '', '')"
"('kq.', '', '')"
"('kx.', '', '')"
"('kxD.', '', '')"
"('kyN.', '', '')"
"('l.', '', '')"
"('l1L.', '', '')"
"('l8.', '', '')"
"('lC.', '', '')"
"('lDA.', '', '')"
"('lIbW.', '', '')"
"('lM.', '', '')"
"('lOh.', '', '')"
"('lQQS.', '', '')"
"('lY.', '', '')"
"('lYu.', '', '')"
"('label1.', '', '')"
"('labelMessage.', '', '')"
"('lastpass.', '', '')"
"('lblErrorMessage.', '', '')"
"('lblPassword.', '', '')"
"('lblUsername.', '', '')"
"('lf.', '', '')"
"('lg.', '', '')"
"('linkLabel1.', '', '')"
"('linkLabel2.', '', '')"
"('lj.', '', '')"
"('lo.', '', '')"
"('loginForm.', '', '')"
"('lowerPanel.', '', '')"
"('lpwinmetro.', '', '')"
"('lr.', '', '')"
"('ls.', '', '')"
"('lt.', '', '')"
"('lx.', '', '')"
"('m.', '', '')"
"('m0.', '', '')"
"('m3tl.', '', '')"
"('m5.', '', '')"
"('m6.', '', '')"
"('m7.', '', '')"
"('m8.', '', '')"
"('m9l.', '', '')"
"('m9p.', '', '')"
"('mC.', '', '')"
"('mE.', '', '')"
"('mF.', '', '')"
"('mH.', '', '')"
"('mJ.', '', '')"
"('mK.', '', '')"
"('mM.', '', '')"
"('mO.', '', '')"
"('mO5.', '', '')"
"('mOEU.', '', '')"
"('mV.', '', '')"
"('mW.', '', '')"
"('mdm.', '', '')"
"('me.', '', '')"
"('messageLabel.', '', '')"
"('microsoft.', '', '')"
"('mldabcdlsdewiv.', '', '')"
"('modernwpf.', '', '')"
"('ms.', '', '')"
"('n.', '', '')"
"('n2.', '', '')"
"('n7.', '', '')"
"('n82.', '', '')"
"('nG.', '', '')"
"('nH.', '', '')"
"('nJ.', '', '')"
"('nJto.', '', '')"
"('nK.', '', '')"
"('nO.', '', '')"
"('nT.', '', '')"
"('nY6.', '', '')"
"('nZ.', '', '')"
"('naG.', '', '')"
"('newFont.', '', '')"
"('nf.', '', '')"
"('nfL.', '', '')"
"('nj.', '', '')"
"('nk.', '', '')"
"('nlgJTO.', '', '')"
"('nps.', '', '')"
"('nq.', '', '')"
"('ns.', '', '')"
"('nuj.', '', '')"
"('nwa.', '', '')"
"('nws7.', '', '')"
"('nxHZ1jMjU.', '', '')"
"('ny.', '', '')"
"('nz.', '', '')"
"('o.', '', '')"
"('o4.', '', '')"
"('o7.', '', '')"
"('o8.', '', '')"
"('oA.', '', '')"
"('oAW.', '', '')"
"('oE.', '', '')"
"('oG1.', '', '')"
"('oGb.', '', '')"
"('oJwv.', '', '')"
"('oL.', '', '')"
"('oN.', '', '')"
"('oOu8.', '', '')"
"('oQ.', '', '')"
"('oS.', '', '')"
"('oS5.', '', '')"
"('oW.', '', '')"
"('oWh.', '', '')"
"('object.', '', '')"
"('object.', '', '-microsoft')"
"('oc.', '', '')"
"('oem.', '', '')"
"('ok.', '', '')"
"('okButton.', '', '')"
"('okX.', '', '')"
"('olk.', '', '')"
"('oo.', '', '')"
"('ooU.', '', '')"
"('openvpn-gui.', '', '-gui')"
"('openvpn.', '', '')"
"('openxmlformats.', '', '')"
"('originalText.', '', '')"
"('ot.', '', '')"
"('ow.', '', '')"
"('oy.', '', '')"
"('oz.', '', '')"
"('p.', '', '')"
"('p1.', '', '')"
"('p2M.', '', '')"
"('p3.', '', '')"
"('p3zr.', '', '')"
"('p4l-8.', '', '-8')"
"('p6JC.', '', '')"
"('p7.', '', '')"
"('pC.', '', '')"
"('pE.', '', '')"
"('pG.', '', '')"
"('pI.', '', '')"
"('pK.', '', '')"
"('pM.', '', '')"
"('pNyKo.', '', '')"
"('pO.', '', '')"
"('pR.', '', '')"
"('pS.', '', '')"
"('pT.', '', '')"
"('pV.', '', '')"
"('pVC.', '', '')"
"('pa.', '', '')"
"('panel1.', '', '')"
"('passwordPlaceholder.', '', '')"
"('passwords.', '', '')"
"('pb.', '', '')"
"('pe.', '', '')"
"('pfn.', '', '')"
"('pg.', '', '')"
"('pictureBox1.', '', '')"
"('pictureBox2.', '', '')"
"('pictureBox3.', '', '')"
"('pkFI.', '', '')"
"('pm.', '', '')"
"('po.', '', '')"
"('poycOz38.', '', '')"
"('process.', '', '')"
"('pvSi.', '', '')"
"('pw-eye-new-blue.', '', '-blue')"
"('pw-eye-new.', '', '-new')"
"('pwD.', '', '')"
"('pycj.', '', '')"
"('q.', '', '')"
"('q1.', '', '')"
"('qD.', '', '')"
"('qE.', '', '')"
"('qF.', '', '')"
"('qJKZkQCM7.', '', '')"
"('qO.', '', '')"
"('qQ.', '', '')"
"('qVFEEq.', '', '')"
"('qW.', '', '')"
"('qbI.', '', '')"
"('qq.', '', '')"
"('qr.', '', '')"
"('qu.', '', '')"
"('qwYI.', '', '')"
"('r.', '', '')"
"('r31.', '', '')"
"('r58.', '', '')"
"('rC.', '', '')"
"('rHP.', '', '')"
"('rIY.', '', '')"
"('rPa.', '', '')"
"('rT.', '', '')"
"('rXA.', '', '')"
"('rc.', '', '')"
"('rd.', '', '')"
"('ref.', '', '')"
"('resources.', '', '')"
"('rfm2.', '', '')"
"('rg.', '', '')"
"('rh.', '', '')"
"('riCH.', '', '')"
"('richTextBox1.', '', '')"
"('richTextBox2.', '', '')"
"('rihi4cGS.', '', '')"
"('rvJ.', '', '')"
"('rvT.', '', '')"
"('rw.', '', '')"
"('rzI.', '', '')"
"('s.', '', '')"
"('s0.', '', '')"
"('s1.', '', '')"
"('s1kDH.', '', '')"
"('s2.', '', '')"
"('s5.', '', '')"
"('s6.', '', '')"
"('s8Js1vp.', '', '')"
"('sA.', '', '')"
"('sH.', '', '')"
"('sI.', '', '')"
"('sL.', '', '')"
"('sO.', '', '')"
"('sQD.', '', '')"
"('sQLW.', '', '')"
"('sR.', '', '')"
"('sUw.', '', '')"
"('sZ.', '', '')"
"('saauwgu3.', '', '')"
"('sb.', '', '')"
"('sco.', '', '')"
"('se.', '', '')"
"('si.', '', '')"
"('sj.', '', '')"
"('sm.', '', '')"
"('srnR.', '', '')"
"('string.', '', '')"
"('sw.', '', '')"
"('sx.', '', '')"
"('t.', '', '')"
"('t2GM.', '', '')"
"('t5.', '', '')"
"('t7.', '', '')"
"('tDuz1Kz.', '', '')"
"('tE.', '', '')"
"('tK.', '', '')"
"('tM.', '', '')"
"('tQ.', '', '')"
"('tR.', '', '')"
"('tU.', '', '')"
"('tW.', '', '')"
"('tZ.', '', '')"
"('tZ3.', '', '')"
"('td.', '', '')"
"('tdV.', '', '')"
"('te.', '', '')"
"('test-blue.', '', '-blue')"
"('test.', '', '')"
"('textBox1.', '', '')"
"('textBox2.', '', '')"
"('textBox3.', '', '')"
"('textSize.', '', '')"
"('this.', '', '')"
"('ti5.', '', '')"
"('toolTip1.', '', '')"
"('toolTip2.', '', '')"
"('tp2.', '', '')"
"('ttjM.', '', '')"
"('txtPassword.', '', '')"
"('txtUsername.', '', '')"
"('ty.', '', '')"
"('tyj.', '', '')"
"('tz.', '', '')"
"('u.', '', '')"
"('u1Z.', '', '')"
"('u2.', '', '')"
"('u5.', '', '')"
"('u5h.', '', '')"
"('u7u.', '', '')"
"('uB.', '', '')"
"('uJ.', '', '')"
"('uL.', '', '')"
"('uN.', '', '')"
"('uS.', '', '')"
"('uWg.', '', '')"
"('uk.', '', '')"
"('ukj.', '', '')"
"('usJ.', '', '')"
"('uw.', '', '')"
"('uy.', '', '')"
"('v.', '', '')"
"('v3.', '', '')"
"('v5.', '', '')"
"('v8.', '', '')"
"('v9m6.', '', '')"
"('vA.', '', '')"
"('vI2r.', '', '')"
"('vJjC.', '', '')"
"('vS.', '', '')"
"('vTT.', '', '')"
"('vfo.', '', '')"
"('vh.', '', '')"
"('vhdk8V.', '', '')"
"('videolan.', '', '')"
"('vm.', '', '')"
"('vmoW4.', '', '')"
"('vn.', '', '')"
"('vpn.', '', '')"
"('vpnagent.', '', '')"
"('vpnui.', '', '')"
"('vxg7.', '', '')"
"('w.', '', '')"
"('w1F.', '', '')"
"('w3.', '', '')"
"('w5R.', '', '')"
"('wAX.', '', '')"
"('wB-j.', '', '-j')"
"('wEc.', '', '')"
"('wF.', '', '')"
"('wGj.', '', '')"
"('wKO1.', '', '')"
"('wNQ.', '', '')"
"('wP.', '', '')"
"('wQ.', '', '')"
"('wR.', '', '')"
"('wS.', '', '')"
"('wT4qg.', '', '')"
"('wUW.', '', '')"
"('wiO.', '', '')"
"('wllx.', '', '')"
"('wpfRunner.', '', '')"
"('wtvERc.', '', '')"
"('wzf.', '', '')"
"('x.', '', '')"
"('x264.', '', '')"
"('x4y.', '', '')"
"('xC.', '', '')"
"('xP.', '', '')"
"('xPLG.', '', '')"
"('xR.', '', '')"
"('xT.', '', '')"
"('xW.', '', '')"
"('xaml.', '', '')"
"('xbqC.', '', '')"
"('xc.', '', '')"
"('xi.', '', '')"
"('xuGxlM.', '', '')"
"('xv.', '', '')"
"('y.', '', '')"
"('y3lT.', '', '')"
"('y6.', '', '')"
"('y7m.', '', '')"
"('y9.', '', '')"
"('yB.', '', '')"
"('yD.', '', '')"
"('yG.', '', '')"
"('yJ.', '', '')"
"('yO.', '', '')"
"('yV.', '', '')"
"('yVJf.', '', '')"
"('yW.', '', '')"
"('yXI.', '', '')"
"('yda.', '', '')"
"('ye.', '', '')"
"('yh.', '', '')"
"('yju.', '', '')"
"('yl45.', '', '')"
"('yo.', '', '')"
"('yob.', '', '')"
"('yv.', '', '')"
"('z-Ri6.', '', '-Ri6')"
"('z.', '', '')"
"('z1.', '', '')"
"('z5t.', '', '')"
"('z6ro.', '', '')"
"('z7.', '', '')"
"('z8lO.', '', '')"
"('zC.', '', '')"
"('zG.', '', '')"
"('zK.', '', '')"
"('zN.', '', '')"
"('zO.', '', '')"
"('zR.', '', '')"
"('zT.', '', '')"
"('za.', '', '')"
"('zd8Y.', '', '')"
"('zi.', '', '')"
"('zi9.', '', '')"
"('zj9o.', '', '')"
"('zl.', '', '')"
"('zntry.', '', '')"
"('zoi.', '', '')"
"('zomk01S.', '', '')"
"('zv.', '', '')"
"('zyn.', '', '')"
