"('', '', '', '', '', '', ' .SMB\n      $pkt', '', '.SMB', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' object\n    $PPKFileObject', '', 'object', 'PPKFileObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' object\n    $RDPFileObject', '', 'object', 'RDPFileObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' object\n  $UserObject', '', 'object', 'UserObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' overflow\n\n      $pkt', '', 'overflow', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' path\n    $SecurityRegPath', '', 'path', 'SecurityRegPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' process_id\n      $pkt', '', 'process_id', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' process_id_high\n      $pkt', '', 'process_id_high', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' properties\n  $flagAndPass', '', 'properties', 'flagAndPass', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' pw\n    $pkt', '', 'pw', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' registry\n  $remote_reg', '', 'registry', 'remote_reg', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' request\n    $pkt', '', 'request', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' request\n    $trans2_pkt_nulled', '', 'request', 'trans2_pkt_nulled', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' reserved\n      $pkt', '', 'reserved', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' sessions\n          $PuTTYSessions', '', 'sessions', 'PuTTYSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' sessions\n          $RDPSessions', '', 'sessions', 'RDPSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' sessions\n          $WinSCPSessions', '', 'sessions', 'WinSCPSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' sessions\n        $MappedUserName', '', 'sessions', 'MappedUserName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' sessions\n    $SIDPath', '', 'sessions', 'SIDPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' setup\n    $pkt', '', 'setup', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' signature\n      $pkt', '', 'signature', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' size\n\t\t\t$User32Hanle', '', 'size', 'User32Hanle', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' smb1_anonymous_login $sock', '', 'smb1_anonymous_login', 'sock', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' smb1_free_hole $false', '', 'smb1_free_hole', 'false', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' smb1_free_hole $true', '', 'smb1_free_hole', 'true', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' smb1_get_response $sock', '', 'smb1_get_response', 'sock', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' smb2_grooms $Target', '', 'smb2_grooms', 'Target', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' string\n    $EventLogName', '', 'string', 'EventLogName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' system\n  $null', '', 'system', 'null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' tree_connect_andx $sock', '', 'tree_connect_andx', 'sock', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' tree_connect_andx_request $Target', '', 'tree_connect_andx_request', 'Target', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' tree_id\n      $pkt', '', 'tree_id', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' type\n    $pkt', '', 'type', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' undocumented\n    $pkt', '', 'undocumented', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' unload $Path', '', 'unload', 'Path', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' user. \n        $UserObject', '', 'user.', 'UserObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' user_id\n      $pkt', '', 'user_id', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' username\n        $RDPPath', '', 'username', 'RDPPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' username\n    $SID', '', 'username', 'SID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' variable\n      $AllDrives', '', 'variable', 'AllDrives', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' variable\n    $UserHives', '', 'variable', 'UserHives', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' versions\n  $firstval', '', 'versions', 'firstval', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' window\n            $StartupInfo', '', 'window', 'StartupInfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' word_count\n      $pkt', '', 'word_count', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' x64\n\n      $pkt', '', 'x64', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param ($Thread, $hDuplicateTokenHandle)', '$Thread, $hDuplicateTokenHandle', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [string]$EventLogName,\n        [string]$EventType,\n        [string]$EventRecordID\n    )', '[string]$EventLogName,\n        [string]$EventType,\n        [string]$EventRecordID\n    ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [string]$EventLogName,\n        [string]$EventType,\n        [string]$IpAddress\n    )', '[string]$EventLogName,\n        [string]$EventType,\n        [string]$IpAddress\n    ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param ($Address)', '$Address', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param ($Address, $Value)', '$Address, $Value', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param ($Hanlde)', '$Hanlde', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param (\n      [switch]$o, # Generate CSV output\n      [switch]$Thorough, # Searches entire filesystem for certain file extensions\n      [string]$u, # Domain\\username (e.g. superduper.com\\a-jerry)', '[switch]$o, # Generate CSV output\n      [switch]$Thorough, # Searches entire filesystem for certain file extensions\n      [string]$u, # Domain\\username (e.g. superduper.com\\a-jerry', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param([Int64]$Address)', '[Int64]$Address', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param([IntPtr]$ManagerBitmap,[IntPtr]$WorkerBitmap)', '[IntPtr]$ManagerBitmap,[IntPtr]$WorkerBitmap', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param([Int]$Count)', '[Int]$Count', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param([Int]$wKey)', '[Int]$wKey', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param(\n\n        [Parameter(Position=0,Mandatory=$True)', '[Parameter(Position=0,Mandatory=$True', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.File\n    $EventLogPath', '', '.File', 'EventLogPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.FullName\n            \n            $CallResult', '', '.FullName', 'CallResult', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.FullName\n        \n        $CallResult', '', '.FullName', 'CallResult', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.FullName\n\t\t$CallResult', '', '.FullName', 'CallResult', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.Hostname $WinSCPSessionObject', '', '.Hostname', 'WinSCPSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.ImageBase\n\t\t$KernelType', '', '.ImageBase', 'KernelType', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.Username $WinSCPSessionObject', '', '.Username', 'WinSCPSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.Version\n\t$Script', '', '.Version', 'Script', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.sValue\n            $WinSCPSessionObject', '', '.sValue', 'WinSCPSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.tree_id  $smbheader', '', '.tree_id', 'smbheader', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.tree_id $smbheader', '', '.tree_id', 'smbheader', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.user_id\n    $sock', '', '.user_id', 'sock', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '0x00\n     $pkt', '', '0x00', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '0x00\n    $pkt', '', '0x00', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '0x10\n      $pkt', '', '0x10', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '0x32\n    $pkt', '', '0x32', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '0xf3\n      $pkt', '', '0xf3', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '0xff\n      $pkt', '', '0xff', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '0xff\n    $pkt', '', '0xff', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '0xff\n\n      $pkt', '', '0xff', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '1]\n\t\t$KernelHanle', '', '1', 'KernelHanle', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '4]\n    $pkt', '', '4', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ASCII\n\n\n$GROOM_DELTA', '', 'ASCII', 'GROOM_DELTA', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Address $PoShTokenAddr', '', 'Address', 'PoShTokenAddr', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Address $SysEprocessPtr', '', 'Address', 'SysEprocessPtr', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Address $TargetAddress', '', 'Address', 'TargetAddress', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'And $LoopCount', '', 'And', 'LoopCount', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ArgumentList $BuffOffset', '', 'ArgumentList', 'BuffOffset', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ArgumentList $HKLM', '', 'ArgumentList', 'HKLM', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ArgumentList $HKU', '', 'ArgumentList', 'HKU', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ArgumentList $u', '', 'ArgumentList', 'u', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Argumentlist $reghive', '', 'Argumentlist', 'reghive', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Argumentlist $remote_command', '', 'Argumentlist', 'remote_command', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Bitmap1\n\t\t\t$ManagerBitmap', '', 'Bitmap1', 'ManagerBitmap', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Bitmap2\n\t\t\t$ManagerBitmap', '', 'Bitmap2', 'ManagerBitmap', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ChildItem $Drive', '', 'ChildItem', 'Drive', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ChildItem $MicrosoftRDPPath', '', 'ChildItem', 'MicrosoftRDPPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ChildItem $PuTTYPath', '', 'ChildItem', 'PuTTYPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ChildItem $WinSCPPath', '', 'ChildItem', 'WinSCPPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ChildItem\n      $PPKExtensionFilesINodes', '', 'ChildItem', 'PPKExtensionFilesINodes', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Computer $RemoteComputer', '', 'Computer', 'RemoteComputer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ComputerName $RemoteComputer', '', 'ComputerName', 'RemoteComputer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Content $FileZillaPath', '', 'Content', 'FileZillaPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Content $SuperPuTTYPath', '', 'Content', 'SuperPuTTYPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'DecryptWinSCPPassword $WinSCPSessionObject', '', 'DecryptWinSCPPassword', 'WinSCPSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'EventLogPath$EventLogName', '', 'EventLogPath', 'EventLogName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'EventLogPath$EventType', '', 'EventLogPath', 'EventType', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Filter $FileZillaFilter', '', 'Filter', 'FileZillaFilter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Filter $SuperPuTTYFilter', '', 'Filter', 'SuperPuTTYFilter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Force\n    $Credentials', '', 'Force', 'Credentials', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Hanlde $KernelArray', '', 'Hanlde', 'KernelArray', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Hostname\n\n            $Location', '', 'Hostname', 'Location', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Hostname\n\n    $PuTTYSessionObject', '', 'Hostname', 'PuTTYSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Item $EventLogPath', '', 'Item', 'EventLogPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Item $TempLogPath', '', 'Item', 'TempLogPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'KeyboardInput\n\t\t$InputSize', '', 'KeyboardInput', 'InputSize', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Leaf $UserObject', '', 'Leaf', 'UserObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'LoadedModules\n\t\t$KernelBase', '', 'LoadedModules', 'KernelBase', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ManagerBitmap $ManagerBitmap', '', 'ManagerBitmap', 'ManagerBitmap', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Null\n      $raw', '', 'Null', 'raw', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Null\n\n     $groom_socks', '', 'Null', 'groom_socks', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Null\n\n    $raw', '', 'Null', 'raw', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object\n\t\t$BitMapObject', '', 'Object', 'BitMapObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object\n\t\t\n\t\t\t$BuffOffset', '', 'Object', 'BuffOffset', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object\n\t\t\t$Result', '', 'Object', 'Result', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'PID $EventlogSvchostPID', '', 'PID', 'EventlogSvchostPID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Password\n            $WinSCPSessionObject', '', 'Password', 'WinSCPSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Password\n\n    $WinSCPSessionObject', '', 'Password', 'WinSCPSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $FileZillaPath', '', 'Path', 'FileZillaPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $Hive', '', 'Path', 'Hive', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $MicrosoftRDPPath', '', 'Path', 'MicrosoftRDPPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $Path', '', 'Path', 'Path', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $PathToRDPSession', '', 'Path', 'PathToRDPSession', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $PathToWinSCPSession', '', 'Path', 'PathToWinSCPSession', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $PuTTYPath', '', 'Path', 'PuTTYPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $RegPath', '', 'Path', 'RegPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $SecurityRegPath', '', 'Path', 'SecurityRegPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $Session', '', 'Path', 'Session', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $SuperPuTTYPath', '', 'Path', 'SuperPuTTYPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $WinSCPPath', '', 'Path', 'WinSCPPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $iL', '', 'Path', 'iL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $objUser', '', 'Path', 'objUser', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path \n    $RDPFileObject', '', 'Path', 'RDPFileObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path\n      $ThoroughObject', '', 'Path', 'ThoroughObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path\n\n    $PPKFileObject', '', 'Path', 'PPKFileObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ProcessFileZillaFile $FileZillaXML', '', 'ProcessFileZillaFile', 'FileZillaXML', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ProcessPPKFile $PPKExtensionFilesINodes', '', 'ProcessPPKFile', 'PPKExtensionFilesINodes', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ProcessPuTTYLocal $AllPuTTYSessions', '', 'ProcessPuTTYLocal', 'AllPuTTYSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ProcessRDPFile $RDPExtensionFilesINodes', '', 'ProcessRDPFile', 'RDPExtensionFilesINodes', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ProcessRDPLocal $AllRDPSessions', '', 'ProcessRDPLocal', 'AllRDPSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ProcessSuperPuTTYFile $SuperPuTTYXML', '', 'ProcessSuperPuTTYFile', 'SuperPuTTYXML', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ProcessThoroughLocal $AllDrives', '', 'ProcessThoroughLocal', 'AllDrives', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ProcessThoroughRemote $FilePathsFound', '', 'ProcessThoroughRemote', 'FilePathsFound', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ProcessWinSCPLocal $AllWinSCPSessions', '', 'ProcessWinSCPLocal', 'AllWinSCPSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ProcesssdtidFile $sdtidExtensionFilesINodes', '', 'ProcesssdtidFile', 'sdtidExtensionFilesINodes', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Property $FileZillaSessionHash', '', 'Property', 'FileZillaSessionHash', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Property $HashTable', '', 'Property', 'HashTable', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'PuTTYPathEnding\n        $WinSCPPath', '', 'PuTTYPathEnding', 'WinSCPPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'PuTTYSession\n            $PuTTYSessionObject', '', 'PuTTYSession', 'PuTTYSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'PuTTYSession\n\n            $PuTTYSessionObject', '', 'PuTTYSession', 'PuTTYSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'RDPPathEnding\n        $PuTTYPath', '', 'RDPPathEnding', 'PuTTYPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'RDPSession\n            $RDPSessionObject', '', 'RDPSession', 'RDPSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'RDPSession\n\n            $RDPSessionObject', '', 'RDPSession', 'RDPSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'RemoteComputer\n\n      $Extension', '', 'RemoteComputer', 'Extension', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Runspace\n        $Runspace', '', 'Runspace', 'Runspace', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SecureString $p', '', 'SecureString', 'p', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SessionUsername\n  $values', '', 'SessionUsername', 'values', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Session\n\n    $MicrosoftRDPSessionObject', '', 'Session', 'MicrosoftRDPSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Session\n\n    $WinSCPSessionObject', '', 'Session', 'WinSCPSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Size\n\n\t\t$SystemModuleArray', '', 'Size', 'SystemModuleArray', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Source\n            $PuTTYSessionObject', '', 'Source', 'PuTTYSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Source\n            $RDPSessionObject', '', 'Source', 'RDPSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Source\n            $WinSCPSessionObject', '', 'Source', 'WinSCPSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Source\n        $SuperPuTTYSessionObject', '', 'Source', 'SuperPuTTYSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Source\n    $MicrosoftRDPSessionObject', '', 'Source', 'MicrosoftRDPSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Source\n    $PuTTYSessionObject', '', 'Source', 'PuTTYSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Source\n    $WinSCPSessionObject', '', 'Source', 'WinSCPSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Source\n    $sdtidFileObject', '', 'Source', 'sdtidFileObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SuperPuTTYSession.ExtraArgs\n        $SuperPuTTYSessionObject', '', 'SuperPuTTYSession.ExtraArgs', 'SuperPuTTYSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SuperPuTTYSession.Host\n        $SuperPuTTYSessionObject', '', 'SuperPuTTYSession.Host', 'SuperPuTTYSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SuperPuTTYSession.Port\n        $SuperPuTTYSessionObject', '', 'SuperPuTTYSession.Port', 'SuperPuTTYSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SuperPuTTYSession.SessionId\n        $SuperPuTTYSessionObject', '', 'SuperPuTTYSession.SessionId', 'SuperPuTTYSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SuperPuTTYSession.SessionName\n        $SuperPuTTYSessionObject', '', 'SuperPuTTYSession.SessionName', 'SuperPuTTYSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SuperPuTTYSession.Username\n        $SuperPuTTYSessionObject', '', 'SuperPuTTYSession.Username', 'SuperPuTTYSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Target $smbheader', '', 'Target', 'smbheader', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ThreadHandle\n        $hThreadID', '', 'ThreadHandle', 'hThreadID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'User.Status\n\t$QueryPath', '', 'User.Status', 'QueryPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Username\n            \n            $Location', '', 'Username', 'Location', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Username\n\n    $MicrosoftRDPSessionObject', '', 'Username', 'MicrosoftRDPSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $ArrayOfFileZillaSessions', '', 'Value', 'ArrayOfFileZillaSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $ArrayOfPPKFiles', '', 'Value', 'ArrayOfPPKFiles', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $ArrayOfPuTTYSessions', '', 'Value', 'ArrayOfPuTTYSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $ArrayOfRDPFiles', '', 'Value', 'ArrayOfRDPFiles', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $ArrayOfRDPSessions', '', 'Value', 'ArrayOfRDPSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $ArrayOfSuperPuTTYSessions', '', 'Value', 'ArrayOfSuperPuTTYSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $ArrayOfWinSCPSessions', '', 'Value', 'ArrayOfWinSCPSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $ArrayOfsdtidFiles', '', 'Value', 'ArrayOfsdtidFiles', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $SysToken', '', 'Value', 'SysToken', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $fctenc', '', 'Value', 'fctenc', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $objUser', '', 'Value', 'objUser', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'WinSCPPathEnding\n        $SuperPuTTYFilter', '', 'WinSCPPathEnding', 'SuperPuTTYFilter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'WinSCPSession\n\n            $Location', '', 'WinSCPSession', 'Location', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'WinSCPSession\n\n            $WinSCPSessionObject', '', 'WinSCPSession', 'WinSCPSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'WorkerBitmap $WorkerBitmap', '', 'WorkerBitmap', 'WorkerBitmap', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Write\n\t\t\t$LoopCount', '', 'Write', 'LoopCount', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Zero\n            $CallResult', '', 'Zero', 'CallResult', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Zero\n        $CallResult', '', 'Zero', 'CallResult', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[0..4]\n    $smb_header', '', '0..4', 'smb_header', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[0]\n    $pkt', '', '0', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[1]\n    $pkt', '', '1', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[Banner]\n\t$ms16135', '', 'Banner', 'ms16135', '', '', '', '', '', '', '', '')"
