"( ""Function call with parameters that may be unsafe - this call relies on the caller to check that the passed values are correct. "" ""To disable this warning, use -D_SCL_SECURE_NO_WARNINGS. See documentation on how to use Visual C++ 'Checked Iterators'"""
"(IOleInPlaceUIWindow *This,REFIID riid, void **ppvObject"
"(IOleItemContainer *This,BOOL fLock"
"(IOleItemContainer *This,DWORD grfFlags,IEnumUnknown **ppenum"
"(IOleItemContainer *This,IBindCtx *pbc,LPOLESTR pszDisplayName,ULONG *pchEaten,IMoniker **ppmkOut"
"(IOleItemContainer *This,LPOLESTR pszItem"
"(IOleItemContainer *This,LPOLESTR pszItem,DWORD dwSpeedNeeded,IBindCtx *pbc,REFIID riid, void **ppvObject"
"(IOleItemContainer *This,LPOLESTR pszItem,IBindCtx *pbc,REFIID riid, void **ppvStorage"
"(IOleItemContainer *This,REFIID riid, void **ppvObject"
"(IOleLink *This,DWORD *pdwUpdateOpt"
"(IOleLink *This,DWORD bindflags,IBindCtx *pbc"
"(IOleLink *This,DWORD dwUpdateOpt"
"(IOleLink *This,IBindCtx *pbc"
"(IOleLink *This,IMoniker **ppmk"
"(IOleLink *This,IMoniker *pmk,REFCLSID rclsid"
"(IOleLink *This,IUnknown **ppunk"
"(IOleLink *This,LPOLESTR *ppszDisplayName"
"(IOleLink *This,REFIID riid, void **ppvObject"
"(IOleObject *This,CLSID *pClsid"
"(IOleObject *This,DWORD dwAspect,DWORD *pdwStatus"
"(IOleObject *This,DWORD dwAssign,DWORD dwWhichMoniker,IMoniker **ppmk"
"(IOleObject *This,DWORD dwConnection"
"(IOleObject *This,DWORD dwDrawAspect,SIZEL *psizel"
"(IOleObject *This,DWORD dwFormOfType,LPOLESTR *pszUserType"
"(IOleObject *This,DWORD dwReserved,IDataObject **ppDataObject"
"(IOleObject *This,DWORD dwSaveOption"
"(IOleObject *This,DWORD dwWhichMoniker,IMoniker *pmk"
"(IOleObject *This,IAdviseSink *pAdvSink,DWORD *pdwConnection"
"(IOleObject *This,IDataObject *pDataObject,BOOL fCreation,DWORD dwReserved"
"(IOleObject *This,IEnumOLEVERB **ppEnumOleVerb"
"(IOleObject *This,IEnumSTATDATA **ppenumAdvise"
"(IOleObject *This,IOleClientSite **ppClientSite"
"(IOleObject *This,IOleClientSite *pClientSite"
"(IOleObject *This,LOGPALETTE *pLogpal"
"(IOleObject *This,LONG iVerb,LPMSG lpmsg,IOleClientSite *pActiveSite,LONG lindex,HWND hwndParent,LPCRECT lprcPosRect"
"(IOleObject *This,LPCOLESTR szContainerApp,LPCOLESTR szContainerObj"
"(IOleObject *This,REFIID riid, void **ppvObject"
"(IOleWindow *This,BOOL fEnterMode"
"(IOleWindow *This,HWND *phwnd"
"(IOleWindow *This,REFIID riid, void **ppvObject"
"(IOplockStorage *This,LPCWSTR pwcsName,DWORD grfMode,DWORD stgfmt,DWORD grfAttrs,REFIID riid, void **ppstgOpen"
"(IOplockStorage *This,REFIID riid, void **ppvObject"
"(IPSFactoryBuffer *This,IUnknown *pUnkOuter,REFIID riid,IRpcProxyBuffer **ppProxy, void **ppv"
"(IPSFactoryBuffer *This,REFIID riid, void **ppvObject"
"(IPSFactoryBuffer *This,REFIID riid,IUnknown *pUnkServer,IRpcStubBuffer **ppStub"
"(IParseDisplayName *This,IBindCtx *pbc,LPOLESTR pszDisplayName,ULONG *pchEaten,IMoniker **ppmkOut"
"(IParseDisplayName *This,REFIID riid, void **ppvObject"
"(IPersist *This,CLSID *pClassID"
"(IPersist *This,REFIID riid, void **ppvObject"
"(IPersistFile *This,CLSID *pClassID"
"(IPersistFile *This,LPCOLESTR pszFileName"
"(IPersistFile *This,LPCOLESTR pszFileName,BOOL fRemember"
"(IPersistFile *This,LPCOLESTR pszFileName,DWORD dwMode"
"(IPersistFile *This,LPOLESTR *ppszFileName"
"(IPersistFile *This,REFIID riid, void **ppvObject"
"(IPersistMoniker *This,BOOL fFullyAvailable,IMoniker *pimkName,LPBC pibc,DWORD grfMode"
"(IPersistMoniker *This,CLSID *pClassID"
"(IPersistMoniker *This,IMoniker **ppimkName"
"(IPersistMoniker *This,IMoniker *pimkName,LPBC pbc,BOOL fRemember"
"(IPersistMoniker *This,IMoniker *pimkName,LPBC pibc"
"(IPersistMoniker *This,REFIID riid, void **ppvObject"
"(IPersistStorage *This,CLSID *pClassID"
"(IPersistStorage *This,IStorage *pStg"
"(IPersistStorage *This,IStorage *pStgNew"
"(IPersistStorage *This,IStorage *pStgSave,BOOL fSameAsLoad"
"(IPersistStorage *This,REFIID riid, void **ppvObject"
"(IPersistStream *This,CLSID *pClassID"
"(IPersistStream *This,IStream *pStm"
"(IPersistStream *This,IStream *pStm,BOOL fClearDirty"
"(IPersistStream *This,REFIID riid, void **ppvObject"
"(IPersistStream *This,ULARGE_INTEGER *pcbSize"
"(IPipeByte *This,BYTE *buf,ULONG cRequest,ULONG *pcReturned"
"(IPipeByte *This,BYTE *buf,ULONG cSent"
"(IPipeByte *This,REFIID riid, void **ppvObject"
"(IPipeDouble *This,DOUBLE *buf,ULONG cRequest,ULONG *pcReturned"
"(IPipeDouble *This,DOUBLE *buf,ULONG cSent"
"(IPipeDouble *This,REFIID riid, void **ppvObject"
"(IPipeLong *This,LONG *buf,ULONG cRequest,ULONG *pcReturned"
"(IPipeLong *This,LONG *buf,ULONG cSent"
"(IPipeLong *This,REFIID riid, void **ppvObject"
"(IProcessInitControl *This,DWORD dwSecondsRemaining"
"(IProcessInitControl *This,REFIID riid, void **ppvObject"
"(IProcessLock *This,REFIID riid, void **ppvObject"
"(IProgressNotify *This,DWORD dwProgressCurrent,DWORD dwProgressMaximum,BOOL fAccurate,BOOL fOwner"
"(IProgressNotify *This,REFIID riid, void **ppvObject"
"(IPropertyBag *This,LPCOLESTR pszPropName,VARIANT *pVar"
"(IPropertyBag *This,LPCOLESTR pszPropName,VARIANT *pVar,IErrorLog *pErrorLog"
"(IPropertyBag *This,REFIID riid, void **ppvObject"
"(IPropertySetStorage *This,IEnumSTATPROPSETSTG **ppenum"
"(IPropertySetStorage *This,REFFMTID rfmtid"
"(IPropertySetStorage *This,REFFMTID rfmtid, const CLSID *pclsid,DWORD grfFlags,DWORD grfMode,IPropertyStorage **ppprstg"
"(IPropertySetStorage *This,REFFMTID rfmtid,DWORD grfMode,IPropertyStorage **ppprstg"
"(IPropertySetStorage *This,REFIID riid, void **ppvObject"
"(IPropertyStorage *This, const FILETIME *pctime, const FILETIME *patime, const FILETIME *pmtime"
"(IPropertyStorage *This,IEnumSTATPROPSTG **ppenum"
"(IPropertyStorage *This,REFCLSID clsid"
"(IPropertyStorage *This,REFIID riid, void **ppvObject"
"(IPropertyStorage *This,STATPROPSETSTG *pstatpsstg"
"(IPropertyStorage *This,ULONG cpropid, const PROPID rgpropid[]"
"(IPropertyStorage *This,ULONG cpropid, const PROPID rgpropid[], const LPOLESTR rglpwstrName[]"
"(IPropertyStorage *This,ULONG cpropid, const PROPID rgpropid[],LPOLESTR rglpwstrName[]"
"(IPropertyStorage *This,ULONG cpspec, const PROPSPEC rgpspec[]"
"(IPropertyStorage *This,ULONG cpspec, const PROPSPEC rgpspec[], const PROPVARIANT rgpropvar[],PROPID propidNameFirst"
"(IPropertyStorage *This,ULONG cpspec, const PROPSPEC rgpspec[],PROPVARIANT rgpropvar[]"
"(IROTData *This,REFIID riid, void **ppvObject"
"(IROTData *This,byte *pbData,ULONG cbMax,ULONG *pcbData"
"(IRecordInfo *This,GUID *pguid"
"(IRecordInfo *This,IRecordInfo *pRecordInfo"
"(IRecordInfo *This,ITypeInfo **ppTypeInfo"
"(IRecordInfo *This,PVOID pvData,LPCOLESTR szFieldName,VARIANT *pvarField"
"(IRecordInfo *This,PVOID pvData,LPCOLESTR szFieldName,VARIANT *pvarField,PVOID *ppvDataCArray"
"(IRecordInfo *This,PVOID pvExisting"
"(IRecordInfo *This,PVOID pvExisting,PVOID pvNew"
"(IRecordInfo *This,PVOID pvNew"
"(IRecordInfo *This,PVOID pvRecord"
"(IRecordInfo *This,PVOID pvSource,PVOID *ppvDest"
"(IRecordInfo *This,REFIID riid, void **ppvObject"
"(IRecordInfo *This,ULONG *pcNames,BSTR *rgBstrNames"
"(IRecordInfo *This,ULONG *pcbSize"
"(IRecordInfo *This,ULONG wFlags,PVOID pvData,LPCOLESTR szFieldName,VARIANT *pvarField"
"(IReleaseMarshalBuffers *This,REFIID riid, void **ppvObject"
"(IReleaseMarshalBuffers *This,RPCOLEMESSAGE *pMsg,DWORD dwFlags,IUnknown *pChnl"
"(IRootStorage *This,LPOLESTR pszFile"
"(IRootStorage *This,REFIID riid, void **ppvObject"
"(IRpcChannelBuffer *This,DWORD *pdwDestContext, void **ppvDestContext"
"(IRpcChannelBuffer *This,REFIID riid, void **ppvObject"
"(IRpcChannelBuffer *This,RPCOLEMESSAGE *pMessage"
"(IRpcChannelBuffer *This,RPCOLEMESSAGE *pMessage,REFIID riid"
"(IRpcChannelBuffer *This,RPCOLEMESSAGE *pMessage,ULONG *pStatus"
"(IRpcChannelBuffer2 *This,DWORD *pdwDestContext, void **ppvDestContext"
"(IRpcChannelBuffer2 *This,DWORD *pdwVersion"
"(IRpcChannelBuffer2 *This,REFIID riid, void **ppvObject"
"(IRpcChannelBuffer2 *This,RPCOLEMESSAGE *pMessage"
"(IRpcChannelBuffer2 *This,RPCOLEMESSAGE *pMessage,REFIID riid"
"(IRpcChannelBuffer2 *This,RPCOLEMESSAGE *pMessage,ULONG *pStatus"
"(IRpcChannelBuffer3 *This,DWORD *pdwDestContext, void **ppvDestContext"
"(IRpcChannelBuffer3 *This,DWORD *pdwVersion"
"(IRpcChannelBuffer3 *This,REFIID riid, void **ppvObject"
"(IRpcChannelBuffer3 *This,RPCOLEMESSAGE *pMessage"
"(IRpcChannelBuffer3 *This,RPCOLEMESSAGE *pMessage,REFIID riid"
"(IRpcChannelBuffer3 *This,RPCOLEMESSAGE *pMessage,ULONG *pStatus"
"(IRpcChannelBuffer3 *This,RPCOLEMESSAGE *pMsg"
"(IRpcChannelBuffer3 *This,RPCOLEMESSAGE *pMsg,DWORD *pState"
"(IRpcChannelBuffer3 *This,RPCOLEMESSAGE *pMsg,DWORD *pdwDestContext, void **ppvDestContext"
"(IRpcChannelBuffer3 *This,RPCOLEMESSAGE *pMsg,IAsyncManager *pAsyncMgr"
"(IRpcChannelBuffer3 *This,RPCOLEMESSAGE *pMsg,REFIID riid, void **pInterface"
"(IRpcChannelBuffer3 *This,RPCOLEMESSAGE *pMsg,ULONG *pulStatus"
"(IRpcChannelBuffer3 *This,RPCOLEMESSAGE *pMsg,ULONG ulSize,ULONG *pulStatus"
"(IRpcHelper *This, void *pObjRef,IID **piid"
"(IRpcHelper *This,DWORD *pComVersion"
"(IRpcHelper *This,REFIID riid, void **ppvObject"
"(IRpcOptions *This,IUnknown *pPrx,RPCOPT_PROPERTIES dwProperty,ULONG_PTR *pdwValue"
"(IRpcOptions *This,IUnknown *pPrx,RPCOPT_PROPERTIES dwProperty,ULONG_PTR dwValue"
"(IRpcOptions *This,REFIID riid, void **ppvObject"
"(IRpcProxyBuffer *This,IRpcChannelBuffer *pRpcChannelBuffer"
"(IRpcProxyBuffer *This,REFIID riid, void **ppvObject"
"(IRpcStubBuffer *This, void **ppv"
"(IRpcStubBuffer *This, void *pv"
"(IRpcStubBuffer *This,IUnknown *pUnkServer"
"(IRpcStubBuffer *This,REFIID riid"
"(IRpcStubBuffer *This,REFIID riid, void **ppvObject"
"(IRpcStubBuffer *This,RPCOLEMESSAGE *_prpcmsg,IRpcChannelBuffer *_pRpcChannelBuffer"
"(IRpcSyntaxNegotiate *This,REFIID riid, void **ppvObject"
"(IRpcSyntaxNegotiate *This,RPCOLEMESSAGE *pMsg"
"(IRunnableObject *This,BOOL fContained"
"(IRunnableObject *This,BOOL fLock,BOOL fLastUnlockCloses"
"(IRunnableObject *This,LPBINDCTX pbc"
"(IRunnableObject *This,LPCLSID lpClsid"
"(IRunnableObject *This,REFIID riid, void **ppvObject"
"(IRunningObjectTable *This,DWORD dwRegister"
"(IRunningObjectTable *This,DWORD dwRegister,FILETIME *pfiletime"
"(IRunningObjectTable *This,DWORD grfFlags,IUnknown *punkObject,IMoniker *pmkObjectName,DWORD *pdwRegister"
"(IRunningObjectTable *This,IEnumMoniker **ppenumMoniker"
"(IRunningObjectTable *This,IMoniker *pmkObjectName"
"(IRunningObjectTable *This,IMoniker *pmkObjectName,FILETIME *pfiletime"
"(IRunningObjectTable *This,IMoniker *pmkObjectName,IUnknown **ppunkObject"
"(IRunningObjectTable *This,REFIID riid, void **ppvObject"
"(ISequentialStream *This, const void *pv,ULONG cb,ULONG *pcbWritten"
"(ISequentialStream *This, void *pv,ULONG cb,ULONG *pcbRead"
"(ISequentialStream *This,REFIID riid, void **ppvObject"
"(IServerSecurity *This,DWORD *pAuthnSvc,DWORD *pAuthzSvc,OLECHAR **pServerPrincName,DWORD *pAuthnLevel,DWORD *pImpLevel, void **pPrivs,DWORD *pCapabilities"
"(IServerSecurity *This,REFIID riid, void **ppvObject"
"(IServiceProvider *This,REFGUID guidService,REFIID riid, void **ppvObject"
"(IServiceProvider *This,REFIID riid, void **ppvObject"
"(ISoftDistExt *This,IBindCtx *pbc,LPVOID pvReserved,DWORD flags,LPCODEBASEHOLD lpcbh"
"(ISoftDistExt *This,LPCWSTR szCDFURL,IXMLElement *pSoftDistElement,LPSOFTDISTINFO lpsdi"
"(ISoftDistExt *This,LPWSTR *szCodeBase,LPDWORD dwMaxSize"
"(ISoftDistExt *This,REFIID riid, void **ppvObject"
"(IStdMarshalInfo *This,DWORD dwDestContext, void *pvDestContext,CLSID *pClsid"
"(IStdMarshalInfo *This,REFIID riid, void **ppvObject"
"(IStorage *This, const OLECHAR *pwcsName"
"(IStorage *This, const OLECHAR *pwcsName, const FILETIME *pctime, const FILETIME *patime, const FILETIME *pmtime"
"(IStorage *This, const OLECHAR *pwcsName, void *reserved1,DWORD grfMode,DWORD reserved2,IStream **ppstm"
"(IStorage *This, const OLECHAR *pwcsName,DWORD grfMode,DWORD reserved1,DWORD reserved2,IStorage **ppstg"
"(IStorage *This, const OLECHAR *pwcsName,DWORD grfMode,DWORD reserved1,DWORD reserved2,IStream **ppstm"
"(IStorage *This, const OLECHAR *pwcsName,IStorage *pstgDest, const OLECHAR *pwcsNewName,DWORD grfFlags"
"(IStorage *This, const OLECHAR *pwcsName,IStorage *pstgPriority,DWORD grfMode,SNB snbExclude,DWORD reserved,IStorage **ppstg"
"(IStorage *This, const OLECHAR *pwcsOldName, const OLECHAR *pwcsNewName"
"(IStorage *This,DWORD ciidExclude, const IID *rgiidExclude,SNB snbExclude,IStorage *pstgDest"
"(IStorage *This,DWORD grfCommitFlags"
"(IStorage *This,DWORD grfStateBits,DWORD grfMask"
"(IStorage *This,DWORD reserved1, void *reserved2,DWORD reserved3,IEnumSTATSTG **ppenum"
"(IStorage *This,REFCLSID clsid"
"(IStorage *This,REFIID riid, void **ppvObject"
"(IStorage *This,STATSTG *pstatstg,DWORD grfStatFlag"
"(IStream *This, const void *pv,ULONG cb,ULONG *pcbWritten"
"(IStream *This, void *pv,ULONG cb,ULONG *pcbRead"
"(IStream *This,DWORD grfCommitFlags"
"(IStream *This,IStream **ppstm"
"(IStream *This,IStream *pstm,ULARGE_INTEGER cb,ULARGE_INTEGER *pcbRead,ULARGE_INTEGER *pcbWritten"
"(IStream *This,LARGE_INTEGER dlibMove,DWORD dwOrigin,ULARGE_INTEGER *plibNewPosition"
"(IStream *This,REFIID riid, void **ppvObject"
"(IStream *This,STATSTG *pstatstg,DWORD grfStatFlag"
"(IStream *This,ULARGE_INTEGER libNewSize"
"(IStream *This,ULARGE_INTEGER libOffset,ULARGE_INTEGER cb,DWORD dwLockType"
"(IStream *pStm, const IID &riid, void **ppv"
"(IStream *pStm, const IID &riid, void *pv, DWORD dwDestContext, void *pvDestContext, DWORD mshlflags"
"(ISupportErrorInfo *This,REFIID riid"
"(ISupportErrorInfo *This,REFIID riid, void **ppvObject"
"(ISurrogate *This,REFCLSID Clsid"
"(ISurrogate *This,REFIID riid, void **ppvObject"
"(ISurrogateService *This,REFGUID rguidApplID"
"(ISurrogateService *This,REFGUID rguidApplID,ApplicationType appType"
"(ISurrogateService *This,REFGUID rguidProcessID,IProcessLock *pProcessLock,BOOL *pfApplicationAware"
"(ISurrogateService *This,REFIID riid, void **ppvObject"
"(ISurrogateService *This,ShutdownType shutdownType"
"(ISurrogateService *This,ULONG ulReserved"
"(ISynchronize *This,DWORD dwFlags,DWORD dwMilliseconds"
"(ISynchronize *This,REFIID riid, void **ppvObject"
"(ISynchronizeContainer *This,DWORD dwFlags,DWORD dwTimeOut,ISynchronize **ppSync"
"(ISynchronizeContainer *This,ISynchronize *pSync"
"(ISynchronizeContainer *This,REFIID riid, void **ppvObject"
"(ISynchronizeEvent *This,HANDLE *ph"
"(ISynchronizeEvent *This,REFIID riid, void **ppvObject"
"(ISynchronizeHandle *This,HANDLE *ph"
"(ISynchronizeHandle *This,REFIID riid, void **ppvObject"
"(ISynchronizeMutex *This,DWORD dwFlags,DWORD dwMilliseconds"
"(ISynchronizeMutex *This,REFIID riid, void **ppvObject"
"(IThumbnailExtractor *This,IStorage *pStg"
"(IThumbnailExtractor *This,IStorage *pStg,ULONG ulLength,ULONG ulHeight,ULONG *pulOutputLength,ULONG *pulOutputHeight,HBITMAP *phOutputBitmap"
"(IThumbnailExtractor *This,REFIID riid, void **ppvObject"
"(ITimeAndNoticeControl *This,DWORD res1,DWORD res2"
"(ITimeAndNoticeControl *This,REFIID riid, void **ppvObject"
"(ITypeChangeEvents *This,CHANGEKIND changeKind,ITypeInfo *pTInfoAfter,LPOLESTR pStrName"
"(ITypeChangeEvents *This,CHANGEKIND changeKind,ITypeInfo *pTInfoBefore,LPOLESTR pStrName,INT *pfCancel"
"(ITypeChangeEvents *This,REFIID riid, void **ppvObject"
"(ITypeComp *This,LPOLESTR szName,ULONG lHashVal,ITypeInfo **ppTInfo,ITypeComp **ppTComp"
"(ITypeComp *This,REFIID riid, void **ppvObject"
"(ITypeFactory *This,ITypeInfo *pTypeInfo,REFIID riid,IUnknown **ppv"
"(ITypeFactory *This,REFIID riid, void **ppvObject"
"(ITypeInfo *This,FUNCDESC *pFuncDesc"
"(ITypeInfo *This,HREFTYPE hRefType,ITypeInfo **ppTInfo"
"(ITypeInfo *This,ITypeComp **ppTComp"
"(ITypeInfo *This,ITypeLib **ppTLib,UINT *pIndex"
"(ITypeInfo *This,IUnknown *pUnkOuter,REFIID riid,PVOID *ppvObj"
"(ITypeInfo *This,LPOLESTR *rgszNames,UINT cNames,MEMBERID *pMemId"
"(ITypeInfo *This,MEMBERID memid,BSTR *pBstrMops"
"(ITypeInfo *This,MEMBERID memid,BSTR *pBstrName,BSTR *pBstrDocString,DWORD *pdwHelpContext,BSTR *pBstrHelpFile"
"(ITypeInfo *This,MEMBERID memid,BSTR *rgBstrNames,UINT cMaxNames,UINT *pcNames"
"(ITypeInfo *This,MEMBERID memid,INVOKEKIND invKind,BSTR *pBstrDllName,BSTR *pBstrName,WORD *pwOrdinal"
"(ITypeInfo *This,MEMBERID memid,INVOKEKIND invKind,PVOID *ppv"
"(ITypeInfo *This,PVOID pvInstance,MEMBERID memid,WORD wFlags,DISPPARAMS *pDispParams,VARIANT *pVarResult,EXCEPINFO *pExcepInfo,UINT *puArgErr"
"(ITypeInfo *This,REFIID riid, void **ppvObject"
"(ITypeInfo *This,TYPEATTR **ppTypeAttr"
"(ITypeInfo *This,TYPEATTR *pTypeAttr"
"(ITypeInfo *This,UINT index,FUNCDESC **ppFuncDesc"
"(ITypeInfo *This,UINT index,HREFTYPE *pRefType"
"(ITypeInfo *This,UINT index,INT *pImplTypeFlags"
"(ITypeInfo *This,UINT index,VARDESC **ppVarDesc"
"(ITypeInfo *This,VARDESC *pVarDesc"
"(ITypeInfo2 *This,CUSTDATA *pCustData"
"(ITypeInfo2 *This,FUNCDESC *pFuncDesc"
"(ITypeInfo2 *This,HREFTYPE hRefType,ITypeInfo **ppTInfo"
"(ITypeInfo2 *This,ITypeComp **ppTComp"
"(ITypeInfo2 *This,ITypeLib **ppTLib,UINT *pIndex"
"(ITypeInfo2 *This,IUnknown *pUnkOuter,REFIID riid,PVOID *ppvObj"
"(ITypeInfo2 *This,LPOLESTR *rgszNames,UINT cNames,MEMBERID *pMemId"
"(ITypeInfo2 *This,MEMBERID memid,BSTR *pBstrMops"
"(ITypeInfo2 *This,MEMBERID memid,BSTR *pBstrName,BSTR *pBstrDocString,DWORD *pdwHelpContext,BSTR *pBstrHelpFile"
"(ITypeInfo2 *This,MEMBERID memid,BSTR *rgBstrNames,UINT cMaxNames,UINT *pcNames"
"(ITypeInfo2 *This,MEMBERID memid,INVOKEKIND invKind,BSTR *pBstrDllName,BSTR *pBstrName,WORD *pwOrdinal"
"(ITypeInfo2 *This,MEMBERID memid,INVOKEKIND invKind,PVOID *ppv"
"(ITypeInfo2 *This,MEMBERID memid,INVOKEKIND invKind,UINT *pFuncIndex"
"(ITypeInfo2 *This,MEMBERID memid,LCID lcid,BSTR *pbstrHelpString,DWORD *pdwHelpStringContext,BSTR *pbstrHelpStringDll"
"(ITypeInfo2 *This,MEMBERID memid,UINT *pVarIndex"
"(ITypeInfo2 *This,PVOID pvInstance,MEMBERID memid,WORD wFlags,DISPPARAMS *pDispParams,VARIANT *pVarResult,EXCEPINFO *pExcepInfo,UINT *puArgErr"
"(ITypeInfo2 *This,REFIID riid, void **ppvObject"
"(ITypeInfo2 *This,TYPEATTR **ppTypeAttr"
"(ITypeInfo2 *This,TYPEATTR *pTypeAttr"
"(ITypeInfo2 *This,TYPEKIND *pTypeKind"
"(ITypeInfo2 *This,UINT index,CUSTDATA *pCustData"
"(ITypeInfo2 *This,UINT index,FUNCDESC **ppFuncDesc"
"(ITypeInfo2 *This,UINT index,HREFTYPE *pRefType"
"(ITypeInfo2 *This,UINT index,INT *pImplTypeFlags"
"(ITypeInfo2 *This,UINT index,REFGUID guid,VARIANT *pVarVal"
"(ITypeInfo2 *This,UINT index,VARDESC **ppVarDesc"
"(ITypeInfo2 *This,UINT indexFunc,UINT indexParam,CUSTDATA *pCustData"
"(ITypeInfo2 *This,UINT indexFunc,UINT indexParam,REFGUID guid,VARIANT *pVarVal"
"(ITypeInfo2 *This,ULONG *pTypeFlags"
"(ITypeInfo2 *This,VARDESC *pVarDesc"
"(ITypeLib *This,INT index,BSTR *pBstrName,BSTR *pBstrDocString,DWORD *pdwHelpContext,BSTR *pBstrHelpFile"
"(ITypeLib *This,ITypeComp **ppTComp"
"(ITypeLib *This,LPOLESTR szNameBuf,ULONG lHashVal,BOOL *pfName"
"(ITypeLib *This,LPOLESTR szNameBuf,ULONG lHashVal,ITypeInfo **ppTInfo,MEMBERID *rgMemId,USHORT *pcFound"
"(ITypeLib *This,REFGUID guid,ITypeInfo **ppTinfo"
"(ITypeLib *This,REFIID riid, void **ppvObject"
"(ITypeLib *This,TLIBATTR **ppTLibAttr"
"(ITypeLib *This,TLIBATTR *pTLibAttr"
"(ITypeLib *This,UINT index,ITypeInfo **ppTInfo"
"(ITypeLib *This,UINT index,TYPEKIND *pTKind"
"(ITypeLib2 *This,CUSTDATA *pCustData"
"(ITypeLib2 *This,INT index,BSTR *pBstrName,BSTR *pBstrDocString,DWORD *pdwHelpContext,BSTR *pBstrHelpFile"
"(ITypeLib2 *This,INT index,LCID lcid,BSTR *pbstrHelpString,DWORD *pdwHelpStringContext,BSTR *pbstrHelpStringDll"
"(ITypeLib2 *This,ITypeComp **ppTComp"
"(ITypeLib2 *This,LPOLESTR szNameBuf,ULONG lHashVal,BOOL *pfName"
"(ITypeLib2 *This,LPOLESTR szNameBuf,ULONG lHashVal,ITypeInfo **ppTInfo,MEMBERID *rgMemId,USHORT *pcFound"
"(ITypeLib2 *This,REFGUID guid,ITypeInfo **ppTinfo"
"(ITypeLib2 *This,REFGUID guid,VARIANT *pVarVal"
"(ITypeLib2 *This,REFIID riid, void **ppvObject"
"(ITypeLib2 *This,TLIBATTR **ppTLibAttr"
"(ITypeLib2 *This,TLIBATTR *pTLibAttr"
"(ITypeLib2 *This,UINT index,ITypeInfo **ppTInfo"
"(ITypeLib2 *This,UINT index,TYPEKIND *pTKind"
"(ITypeLib2 *This,ULONG *pcUniqueNames,ULONG *pcchUniqueNames"
"(ITypeMarshal *This,PVOID pvType"
"(ITypeMarshal *This,PVOID pvType,DWORD dwDestContext,PVOID pvDestContext,ULONG *pSize"
"(ITypeMarshal *This,PVOID pvType,DWORD dwDestContext,PVOID pvDestContext,ULONG cbBufferLength,BYTE *pBuffer,ULONG *pcbWritten"
"(ITypeMarshal *This,PVOID pvType,DWORD dwFlags,ULONG cbBufferLength,BYTE *pBuffer,ULONG *pcbRead"
"(ITypeMarshal *This,REFIID riid, void **ppvObject"
"(IUnknown *This,REFIID riid, void **ppvObject"
"(IUnsecuredApartment *This,IUnknown *pObject,IUnknown **ppStub"
"(IUnsecuredApartment *This,REFIID riid, void **ppvObject"
"(IUri *This,BSTR *pbstrAbsoluteUri"
"(IUri *This,BSTR *pbstrAuthority"
"(IUri *This,BSTR *pbstrDisplayString"
"(IUri *This,BSTR *pbstrDomain"
"(IUri *This,BSTR *pbstrExtension"
"(IUri *This,BSTR *pbstrFragment"
"(IUri *This,BSTR *pbstrHost"
"(IUri *This,BSTR *pbstrPath"
"(IUri *This,BSTR *pbstrPathAndQuery"
"(IUri *This,BSTR *pbstrQuery"
"(IUri *This,BSTR *pbstrRawUri"
"(IUri *This,BSTR *pbstrSchemeName"
"(IUri *This,BSTR *pbstrUserInfo"
"(IUri *This,BSTR *pbstrUserName"
"(IUri *This,DWORD *pdwHostType"
"(IUri *This,DWORD *pdwPort"
"(IUri *This,DWORD *pdwScheme"
"(IUri *This,DWORD *pdwZone"
"(IUri *This,IUri *pUri,BOOL *pfEqual"
"(IUri *This,LPDWORD pdwFlags"
"(IUri *This,REFIID riid, void **ppvObject"
"(IUri *This,Uri_PROPERTY uriProp,BOOL *pfHasProperty"
"(IUri *This,Uri_PROPERTY uriProp,BSTR *pbstrProperty,DWORD dwFlags"
"(IUri *This,Uri_PROPERTY uriProp,DWORD *pcchProperty,DWORD dwFlags"
"(IUri *This,Uri_PROPERTY uriProp,DWORD *pdwProperty,DWORD dwFlags"
"(IUriBuilder *This,BOOL *pfHasPort,DWORD *pdwPort"
"(IUriBuilder *This,BOOL *pfModified"
"(IUriBuilder *This,BOOL fHasPort,DWORD dwNewValue"
"(IUriBuilder *This,DWORD *pcchFragment,LPCWSTR *ppwzFragment"
"(IUriBuilder *This,DWORD *pcchHost,LPCWSTR *ppwzHost"
"(IUriBuilder *This,DWORD *pcchPassword,LPCWSTR *ppwzPassword"
"(IUriBuilder *This,DWORD *pcchPath,LPCWSTR *ppwzPath"
"(IUriBuilder *This,DWORD *pcchQuery,LPCWSTR *ppwzQuery"
"(IUriBuilder *This,DWORD *pcchSchemeName,LPCWSTR *ppwzSchemeName"
"(IUriBuilder *This,DWORD *pcchUserName,LPCWSTR *ppwzUserName"
"(IUriBuilder *This,DWORD dwCreateFlags,DWORD dwAllowEncodingPropertyMask,DWORD_PTR dwReserved,IUri **ppIUri"
"(IUriBuilder *This,DWORD dwCreateFlags,DWORD dwUriBuilderFlags,DWORD dwAllowEncodingPropertyMask,DWORD_PTR dwReserved,IUri **ppIUri"
"(IUriBuilder *This,DWORD dwPropertyMask"
"(IUriBuilder *This,IUri **ppIUri"
"(IUriBuilder *This,IUri *pIUri"
"(IUriBuilder *This,LPCWSTR pwzNewValue"
"(IUriBuilder *This,REFIID riid, void **ppvObject"
