"('', '', '', '', '', '', ' 0\n        $computersList', '', '0', 'computersList', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Recursive\n    $privusersunique', '', 'Recursive', 'privusersunique', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Restore\n    $permissionindex', '', 'Restore', 'permissionindex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Server $env', '', 'Server', 'env', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Service $service', '', 'Service', 'service', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'StringLatinCharacters $_', '', 'StringLatinCharacters', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Target $ouobject', '', 'Target', 'ouobject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Tls12\n        $count', '', 'Tls12', 'count', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Unique\n    $count', '', 'Unique', 'count', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UsersOnly\n    $count', '', 'UsersOnly', 'count', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $GPO', '', 'Value', 'GPO', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $member', '', 'Value', 'member', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            [xml]$Xml', '', 'xml', 'Xml', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n    [array]$privilegedusers', '', 'array', 'privilegedusers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n    [string]$select', '', 'string', 'select', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'adaudit.nessus\n$nessusoutput', '', 'adaudit.nessus', 'nessusoutput', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $DC', '', 'and', 'DC', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $GPO', '', 'and', 'GPO', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $Xml', '', 'and', 'Xml', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $_', '', 'and', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $member', '', 'and', 'member', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and\n        $_', '', 'and', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'both $asrepuser', '', 'both', 'asrepuser', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'both $kerbuser', '', 'both', 'kerbuser', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'checkService.Name\n            $serviceStatus', '', 'checkService.Name', 'serviceStatus', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'computername\n$starttime', '', 'computername', 'starttime', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'contains $AdministratorSAMAccountName', '', 'contains', 'AdministratorSAMAccountName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'contains $spn_group', '', 'contains', 'spn_group', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $AdminName', '', 'eq', 'AdminName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $AdministratorSID', '', 'eq', 'AdministratorSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $Site', '', 'eq', 'Site', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $null', '', 'eq', 'null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $serverAuthOid', '', 'eq', 'serverAuthOid', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $true', '', 'eq', 'true', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'false\n            $AllowEnrollCheck', '', 'false', 'AllowEnrollCheck', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'false\n            $AllowFullControl', '', 'false', 'AllowFullControl', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'false\n            $AllowWriteCheck', '', 'false', 'AllowWriteCheck', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'false\n            $AnyPurposeCheck', '', 'false', 'AnyPurposeCheck', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'false\n            $CertificateRequestAgentCheck', '', 'false', 'CertificateRequestAgentCheck', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'false\n            $ClientAuthCheck', '', 'false', 'ClientAuthCheck', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'false\n            $xmlreport', '', 'false', 'xmlreport', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'false\n    $ExcessiveDCBackupPermissions', '', 'false', 'ExcessiveDCBackupPermissions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'false\n    $ExcessiveDCBatchLogonPermissions', '', 'false', 'ExcessiveDCBatchLogonPermissions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'false\n    $ExcessiveDCDriverPermissions', '', 'false', 'ExcessiveDCDriverPermissions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'false\n    $ExcessiveDCLocalShutdownPermissions', '', 'false', 'ExcessiveDCLocalShutdownPermissions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'false\n    $ExcessiveDCRDPLogonPermissions', '', 'false', 'ExcessiveDCRDPLogonPermissions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'false\n    $ExcessiveDCRemoteShutdownPermissions', '', 'false', 'ExcessiveDCRemoteShutdownPermissions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'false\n    $ExcessiveDCRestorePermissions', '', 'false', 'ExcessiveDCRestorePermissions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'false\n    $ExcessiveDCTimePermissions', '', 'false', 'ExcessiveDCTimePermissions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'false\n    $GPO', '', 'false', 'GPO', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'false\n\n            $TemplatePropCommonName', '', 'false', 'TemplatePropCommonName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ge $DateCutOff', '', 'ge', 'DateCutOff', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'in $dangerousAces', '', 'in', 'dangerousAces', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'in $groupsToCheck', '', 'in', 'groupsToCheck', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'in $selectedChecks', '', 'in', 'selectedChecks', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'lt $DaysAgo', '', 'lt', 'DaysAgo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'lt $lastMonth', '', 'lt', 'lastMonth', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'lt $today', '', 'lt', 'today', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ne $System', '', 'ne', 'System', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ne $group', '', 'ne', 'group', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ne $null', '', 'ne', 'null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ne $totalSite', '', 'ne', 'totalSite', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'notcontains $name', '', 'notcontains', 'name', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'notin $exclude', '', 'notin', 'exclude', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'or $DomainLevel', '', 'or', 'DomainLevel', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'or $ExcessiveDCBackupPermissions', '', 'or', 'ExcessiveDCBackupPermissions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'or $ExcessiveDCBatchLogonPermissions', '', 'or', 'ExcessiveDCBatchLogonPermissions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'or $ExcessiveDCDriverPermissions', '', 'or', 'ExcessiveDCDriverPermissions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'or $ExcessiveDCLocalShutdownPermissions', '', 'or', 'ExcessiveDCLocalShutdownPermissions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'or $ExcessiveDCRDPLogonPermissions', '', 'or', 'ExcessiveDCRDPLogonPermissions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'or $ExcessiveDCRemoteShutdownPermissions', '', 'or', 'ExcessiveDCRemoteShutdownPermissions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'or $ExcessiveDCRestorePermissions', '', 'or', 'ExcessiveDCRestorePermissions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'or $ExcessiveDCTimePermissions', '', 'or', 'ExcessiveDCTimePermissions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'or $OSVersion', '', 'or', 'OSVersion', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'or $_', '', 'or', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'or $member', '', 'or', 'member', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'or $trust', '', 'or', 'trust', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'path $outputdir', '', 'path', 'outputdir', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'path $template_path', '', 'path', 'template_path', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'replaced.nessus\n\n$endtime', '', 'replaced.nessus', 'endtime', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'template\n            $current_template', '', 'template', 'current_template', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'template\n    $certutil_lines', '', 'template', 'certutil_lines', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'true\n    $AdminLocalLogonAllowed', '', 'true', 'AdminLocalLogonAllowed', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'true\n    $AdminNetworkLogonAllowed', '', 'true', 'AdminNetworkLogonAllowed', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'true\n    $AdminRPDLogonAllowed', '', 'true', 'AdminRPDLogonAllowed', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'true\n    $AllGPOs', '', 'true', 'AllGPOs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'unique\n    $ESC2', '', 'unique', 'ESC2', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'value $ESC1line', '', 'value', 'ESC1line', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'value $ESC2line', '', 'value', 'ESC2line', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'value $ESC3line', '', 'value', 'ESC3line', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'value $ESC4line', '', 'value', 'ESC4line', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'value $user', '', 'value', 'user', '', '', '', '', '', '', '', '')"
